           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3850.00000000   0.24208600   0.01549100   0.23663951   0.23979763       0.00150370    0.00228837  
  3852.00000000   0.23655000   0.01535230   0.23658319   0.23973689       0.00137457   -0.00318689  
  3854.00000000   0.24046100   0.01534720   0.23646967   0.23961895       0.00139830    0.00084205  
  3856.00000000   0.23887700   0.01517500   0.23627497   0.23941982       0.00142608   -0.00054282  
  3858.00000000   0.23758500   0.01507050   0.23597687   0.23911729       0.00143062   -0.00153229  
  3860.00000000   0.23734300   0.01500420   0.23555720   0.23869319       0.00138920   -0.00135019  
  3862.00000000   0.23988300   0.01502340   0.23500246   0.23813401       0.00128979    0.00174899  
  3864.00000000   0.23621400   0.01497540   0.23430306   0.23743018       0.00134784   -0.00121618  
  3866.00000000   0.23229000   0.01482460   0.23345228   0.23657495       0.00143602   -0.00428495  
  3868.00000000   0.22836700   0.01468750   0.23244550   0.23556373       0.00155598   -0.00719673  
  3870.00000000   0.24576300   0.01490280   0.23128036   0.23439414       0.00150447    0.01136886  
  3872.00000000   0.24402800   0.01479020   0.22995787   0.23306720       0.00152402    0.01096080  
  3874.00000000   0.23765400   0.01459800   0.22848506   0.23158993       0.00198710    0.00606407  
  3876.00000000   0.22859600   0.01441710   0.22687953   0.22997994       0.00206172   -0.00138394  
  3878.00000000   0.22709000   0.01435680   0.22517631   0.22827226       0.00249510   -0.00118226  
  3880.00000000   0.23517300   0.01447370   0.22343598   0.22652746       0.00258910    0.00864554  
  3882.00000000   0.23216100   0.01431090   0.22175054   0.22483755       0.00290868    0.00732345  
  3884.00000000   0.23109100   0.01409480   0.22024143   0.22332398       0.00316059    0.00776702  
  3886.00000000   0.22823300   0.01690230   0.21904413   0.22212220       0.00310449    0.00611080  
  3888.00000000   0.22827000   0.01555480   0.21827957   0.22135316       0.00307501    0.00691684  
  3890.00000000   0.22180700   0.01388070   0.21802112   0.22109022       0.00306270    0.00071678  
  3892.00000000   0.22234200   0.01387720   0.21827196   0.22133658       0.00316838    0.00100542  
  3894.00000000   0.22611100   0.01405880   0.21896450   0.22202463       0.00327617    0.00408637  
