     pb         mag    mag_err   model_mag     res_mag  
  F275W   18.260623   0.018265   18.253245    0.007378  
  F336W   18.514318   0.004450   18.508541    0.005777  
  F475W   18.904169   0.004528   18.911340   -0.007171  
  F625W   19.317432   0.003851   19.318229   -0.000797  
  F775W   19.664927   0.009940   19.666665   -0.001738  
  F160W   20.990543   0.012796   20.972990    0.017553  
