           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3560.00000000   0.61384800   0.04435830   0.82193702   0.66769270       0.00421728   -0.05384470  
  3561.00000000   0.62771700   0.04433290   0.82143031   0.66752061       0.00422514   -0.03980361  
  3562.00000000   0.59633400   0.04349740   0.82075777   0.66718313       0.00422759   -0.07084913  
  3563.00000000   0.63352800   0.04388810   0.81999263   0.66675349       0.00421143   -0.03322549  
  3564.00000000   0.69420700   0.04460630   0.81919351   0.66629031       0.00417936    0.02791669  
  3565.00000000   0.65721700   0.04411620   0.81838746   0.66582063       0.00414015   -0.00860363  
  3566.00000000   0.63043800   0.04358310   0.81758133   0.66535131       0.00409929   -0.03491331  
  3567.00000000   0.66313700   0.04390020   0.81677519   0.66488241       0.00407838   -0.00174541  
  3568.00000000   0.64382000   0.04278680   0.81596918   0.66441406       0.00406719   -0.02059406  
  3569.00000000   0.65148400   0.04329600   0.81516457   0.66394756       0.00404056   -0.01246356  
  3570.00000000   0.68356400   0.04412610   0.81436210   0.66348362       0.00400417    0.02008038  
  3571.00000000   0.65423700   0.04318210   0.81356108   0.66302155       0.00396299   -0.00878455  
  3572.00000000   0.63756100   0.04251770   0.81276053   0.66256038       0.00392062   -0.02499938  
  3573.00000000   0.63263500   0.04233460   0.81196024   0.66209989       0.00387852   -0.02946489  
  3574.00000000   0.68145300   0.04312200   0.81116061   0.66164048       0.00383667    0.01981252  
  3575.00000000   0.68125500   0.04345160   0.81036190   0.66118240       0.00379501    0.02007260  
  3576.00000000   0.68105700   0.04309090   0.80956422   0.66072577       0.00375354    0.02033123  
  3577.00000000   0.68084500   0.04262200   0.80876799   0.66027100       0.00371168    0.02057400  
  3578.00000000   0.65830600   0.04193350   0.80797362   0.65981850       0.00366881   -0.00151250  
  3579.00000000   0.65921800   0.04182210   0.80718048   0.65936764       0.00362581   -0.00014964  
  3580.00000000   0.67302800   0.04198300   0.80638702   0.65891686       0.00358491    0.01411114  
  3581.00000000   0.64437000   0.04164540   0.80559253   0.65846546       0.00354713   -0.01409546  
  3582.00000000   0.58790400   0.04048800   0.80479818   0.65801461       0.00353152   -0.07011061  
  3583.00000000   0.59870000   0.04018620   0.80400585   0.65756618       0.00359112   -0.05886618  
  3584.00000000   0.65960000   0.04110460   0.80321636   0.65712098       0.00364258    0.00247902  
  3585.00000000   0.66114300   0.04138490   0.80242909   0.65667840       0.00369143    0.00446460  
  3586.00000000   0.63820300   0.04124790   0.80164303   0.65623741       0.00368642   -0.01803441  
  3587.00000000   0.61548100   0.04077200   0.80085766   0.65579752       0.00365088   -0.04031652  
  3588.00000000   0.63894100   0.04034220   0.80007282   0.65535853       0.00360162   -0.01641753  
  3589.00000000   0.63658500   0.04019220   0.79928850   0.65492045       0.00355590   -0.01833545  
  3590.00000000   0.65969200   0.04038330   0.79850540   0.65448396       0.00353118    0.00520804  
  3591.00000000   0.67270000   0.04012680   0.79772452   0.65405007       0.00348667    0.01864993  
  3592.00000000   0.65231000   0.04026050   0.79694567   0.65361858       0.00343923   -0.00130858  
  3593.00000000   0.61513700   0.03968930   0.79616729   0.65318792       0.00339365   -0.03805092  
