     pb         mag    mag_err   model_mag     res_mag  
  F275W   16.940068   0.002458   16.940043    0.000025  
  F336W   17.282701   0.002088   17.284086   -0.001385  
  F475W   17.760625   0.001892   17.758518    0.002107  
  F625W   18.236241   0.002675   18.236627   -0.000386  
  F775W   18.629181   0.002084   18.633509   -0.004328  
  F160W   20.037850   0.004124   20.028051    0.009799  
