     pb         mag    mag_err   model_mag     res_mag  
  F275W   17.943424   0.003720   17.944935   -0.001511  
  F336W   18.109007   0.003754   18.105511    0.003496  
  F475W   18.160694   0.005709   18.152431    0.008263  
  F625W   18.469698   0.002697   18.473482   -0.003784  
  F775W   18.775267   0.007488   18.785931   -0.010664  
  F160W   19.994853   0.006450   19.982601    0.012252  
