     pb         mag    mag_err   model_mag     res_mag  
  F275W   18.195214   0.004467   18.189033    0.006181  
  F336W   18.526785   0.005492   18.533985   -0.007200  
  F475W   19.083287   0.005243   19.087654   -0.004367  
  F625W   19.568610   0.004686   19.571618   -0.003008  
  F775W   19.964801   0.006173   19.960244    0.004557  
  F160W   21.355151   0.012102   21.340148    0.015003  
