obj           specfile                                                             F275W   dF275W    mF275W    rF275W     F336W   dF336W    mF336W    rF336W     F475W   dF475W    mF475W    rF475W     F625W   dF625W    mF625W    rF625W     F775W   dF775W    mF775W    rF775W     F160W   dF160W    mF160W    rF160W
sdssj081508   data/spectroscopy/mmt/sdssj081508-20150124-total.flm               18.9505   0.0065   18.9491    0.0014   19.2635   0.0080   19.2776   -0.0141   19.7162   0.0053   19.7122    0.0041   20.1838   0.0053   20.1858   -0.0020   20.5794   0.0064   20.5769    0.0025   21.9616   0.0243   21.9541    0.0075
sdssj102430   data/spectroscopy/gemini/sdssj102430-20130215-total.flm            18.2606   0.0183   18.2534    0.0073   18.5143   0.0044   18.5088    0.0055   18.9042   0.0045   18.9128   -0.0087   19.3174   0.0039   19.3170    0.0005   19.6649   0.0099   19.6649    0.0000   20.9905   0.0128   20.9720    0.0185
sdssj102430   data/spectroscopy/soar/sdssj102430-20170223-total.flm              18.2606   0.0183   18.2532    0.0074   18.5143   0.0044   18.5085    0.0058   18.9042   0.0045   18.9113   -0.0072   19.3174   0.0039   19.3182   -0.0008   19.6649   0.0099   19.6667   -0.0017   20.9905   0.0128   20.9730    0.0176
sdssj111059   data/spectroscopy/gemini/sdssj111059-20150518-total.flm            17.0406   0.0032   17.0345    0.0061   17.3544   0.0043   17.3458    0.0086   17.8668   0.0026   17.8647    0.0021   18.3135   0.0018   18.3177   -0.0042   18.6887   0.0020   18.6884    0.0002   20.0566   0.0047   20.0377    0.0189
sdssj111059   data/spectroscopy/mmt/sdssj111059-20150124-total.flm               17.0406   0.0032   17.0427   -0.0020   17.3544   0.0043   17.3561   -0.0017   17.8668   0.0026   17.8600    0.0069   18.3135   0.0018   18.3152   -0.0017   18.6887   0.0020   18.6908   -0.0021   20.0566   0.0047   20.0499    0.0066
sdssj111127   data/spectroscopy/mmt/sdssj111127-20150124-total.flm               17.4429   0.0044   17.4422    0.0007   17.8298   0.0056   17.8262    0.0036   18.4206   0.0028   18.4209   -0.0004   18.9390   0.0038   18.9378    0.0012   19.3441   0.0025   19.3476   -0.0035   20.7975   0.0091   20.7676    0.0299
sdssj111127   data/spectroscopy/mmt/sdssj111127-20150518-total.flm               17.4429   0.0044   17.4403    0.0026   17.8298   0.0056   17.8235    0.0063   18.4206   0.0028   18.4230   -0.0024   18.9390   0.0038   18.9393   -0.0003   19.3441   0.0025   19.3470   -0.0029   20.7975   0.0091   20.7616    0.0358
sdssj120650   data/spectroscopy/gemini/sdssj120650-20130310-total.flm            18.2397   0.0039   18.2418   -0.0022   18.4888   0.0041   18.4852    0.0036   18.6719   0.0044   18.6735   -0.0016   19.0601   0.0029   19.0620   -0.0019   19.4112   0.0066   19.4136   -0.0025   20.7027   0.0085   20.6914    0.0113
sdssj121405   data/spectroscopy/gemini/sdssj121405-20150218-total.flm            16.9401   0.0025   16.9400    0.0000   17.2827   0.0021   17.2841   -0.0014   17.7606   0.0019   17.7585    0.0021   18.2362   0.0027   18.2366   -0.0004   18.6292   0.0021   18.6335   -0.0043   20.0378   0.0041   20.0281    0.0098
sdssj121405   data/spectroscopy/mmt/sdssj121405-20150518-total.flm               16.9401   0.0025   16.9403   -0.0002   17.2827   0.0021   17.2845   -0.0018   17.7606   0.0019   17.7571    0.0035   18.2362   0.0027   18.2365   -0.0003   18.6292   0.0021   18.6338   -0.0047   20.0378   0.0041   20.0284    0.0095
sdssj130234   data/spectroscopy/gemini/sdssj130234-20130215-total.flm            16.1879   0.0017   16.1853    0.0026   16.5216   0.0017   16.5244   -0.0028   17.0364   0.0024   17.0358    0.0006   17.5140   0.0021   17.5128    0.0012   17.9037   0.0016   17.9048   -0.0012   19.3031   0.0045   19.2938    0.0094
sdssj131445   data/spectroscopy/gemini/sdssj131445-20130309-total.flm            18.2577   0.0042   18.2614   -0.0037   18.5969   0.0051   18.5900    0.0069   19.1018   0.0048   19.1000    0.0018   19.5668   0.0046   19.5705   -0.0037   19.9553   0.0091   19.9557   -0.0004   21.3284   0.0123   21.3307   -0.0023
sdssj131445   data/spectroscopy/mmt/sdssj131445-20150124-total.flm               18.2577   0.0042   18.2609   -0.0032   18.5969   0.0051   18.5904    0.0064   19.1018   0.0048   19.0980    0.0038   19.5668   0.0046   19.5703   -0.0036   19.9553   0.0091   19.9567   -0.0014   21.3284   0.0123   21.3329   -0.0045
sdssj131445   data/spectroscopy/mmt/sdssj131445-20150518-total.flm               18.2577   0.0042   18.2594   -0.0016   18.5969   0.0051   18.5854    0.0115   19.1018   0.0048   19.1024   -0.0006   19.5668   0.0046   19.5709   -0.0041   19.9553   0.0091   19.9533    0.0021   21.3284   0.0123   21.3226    0.0059
sdssj151421   data/spectroscopy/gemini/sdssj151421-20130317-total.flm            15.1100   0.0018   15.1155   -0.0055   15.3907   0.0016   15.3860    0.0046   15.7090   0.0017   15.7075    0.0015   16.1202   0.0015   16.1165    0.0037   16.4712   0.0013   16.4748   -0.0036   17.7870   0.0045   17.7867    0.0003
sdssj155745   data/spectroscopy/mmt/sdssj155745-20150124-total.flm               16.4999   0.0024   16.4977    0.0022   16.8766   0.0024   16.8803   -0.0036   17.4702   0.0027   17.4700    0.0002   17.9917   0.0018   17.9864    0.0054   18.3880   0.0019   18.3962   -0.0082   19.8343   0.0047   19.8159    0.0183
sdssj155745   data/spectroscopy/mmt/sdssj155745-20150518-total.flm               16.4999   0.0024   16.4969    0.0030   16.8766   0.0024   16.8786   -0.0019   17.4702   0.0027   17.4724   -0.0022   17.9917   0.0018   17.9878    0.0040   18.3880   0.0019   18.3957   -0.0077   19.8343   0.0047   19.8112    0.0231
sdssj163800   data/spectroscopy/gemini/sdssj163800-20130408-total.flm            18.0158   0.0075   18.0105    0.0052   18.3177   0.0040   18.3165    0.0012   18.8399   0.0050   18.8388    0.0011   19.2808   0.0031   19.2871   -0.0063   19.6605   0.0048   19.6521    0.0084   20.9963   0.0088   20.9886    0.0076
sdssj163800   data/spectroscopy/mmt/sdssj163800-20150518-total.flm               18.0158   0.0075   18.0125    0.0033   18.3177   0.0040   18.3199   -0.0022   18.8399   0.0050   18.8346    0.0053   19.2808   0.0031   19.2846   -0.0037   19.6605   0.0048   19.6531    0.0073   20.9963   0.0088   20.9981   -0.0019
sdssj172135   data/spectroscopy/gemini/sdssj172135-20130604-total.flm            20.3714   0.0129   20.3180    0.0534   20.0782   0.0155   20.0825   -0.0044   19.6559   0.0045   19.6738   -0.0179   19.6699   0.0030   19.6683    0.0015   19.7678   0.0031   19.7643    0.0035   20.5520   0.0209   20.5569   -0.0049
sdssj172135   data/spectroscopy/mmt/sdssj172135-20150518-total.flm               20.3714   0.0129   20.3358    0.0356   20.0782   0.0155   20.1033   -0.0251   19.6559   0.0045   19.6668   -0.0110   19.6699   0.0030   19.6661    0.0037   19.7678   0.0031   19.7675    0.0003   20.5520   0.0209   20.5650   -0.0130
sdssj181424   data/spectroscopy/gemini/sdssj181424-20150427-total.flm            15.7913   0.0017   15.7902    0.0012   16.1213   0.0016   16.1215   -0.0002   16.5441   0.0020   16.5413    0.0028   17.0056   0.0019   17.0061   -0.0004   17.3926   0.0013   17.3971   -0.0044   18.7857   0.0025   18.7743    0.0113
sdssj181424   data/spectroscopy/mmt/sdssj181424-20150518-total.flm               15.7913   0.0017   15.7904    0.0009   16.1213   0.0016   16.1220   -0.0006   16.5441   0.0020   16.5401    0.0040   17.0056   0.0019   17.0059   -0.0003   17.3926   0.0013   17.3973   -0.0047   18.7857   0.0025   18.7746    0.0110
sdssj203722   data/spectroscopy/gemini/sdssj203722-20140719-total.flm            18.2568   0.0072   18.2802   -0.0234   18.5438   0.0044   18.5308    0.0130   18.9428   0.0062   18.9442   -0.0014   19.3504   0.0117   19.3464    0.0041   19.6718   0.0099   19.6909   -0.0190   20.9790   0.0233   20.9914   -0.0125
sdssj203722   data/spectroscopy/mmt/sdssj203722-20151012-total.flm               18.2568   0.0072   18.2747   -0.0179   18.5438   0.0044   18.5341    0.0097   18.9428   0.0062   18.9352    0.0076   19.3504   0.0117   19.3420    0.0085   19.6718   0.0099   19.6924   -0.0206   20.9790   0.0233   21.0038   -0.0249
sdssj210150   data/spectroscopy/gemini/sdssj210150-20140720-total.flm            18.0681   0.0040   18.0670    0.0011   18.3344   0.0043   18.3359   -0.0015   18.6560   0.0030   18.6552    0.0008   19.0636   0.0024   19.0625    0.0012   19.4140   0.0038   19.4199   -0.0059   20.7396   0.0082   20.7300    0.0096
sdssj210150   data/spectroscopy/mmt/sdssj210150-20150518-total.flm               18.0681   0.0040   18.0669    0.0013   18.3344   0.0043   18.3337    0.0007   18.6560   0.0030   18.6560   -0.0000   19.0636   0.0024   19.0629    0.0008   19.4140   0.0038   19.4193   -0.0053   20.7396   0.0082   20.7283    0.0113
sdssj210150   data/spectroscopy/mmt/sdssj210150-20151011.5-total.flm             18.0681   0.0040   18.0673    0.0008   18.3344   0.0043   18.3373   -0.0029   18.6560   0.0030   18.6547    0.0013   19.0636   0.0024   19.0622    0.0015   19.4140   0.0038   19.4201   -0.0062   20.7396   0.0082   20.7308    0.0088
sdssj232941   data/spectroscopy/gemini/sdssj232941-20150917-20151106-total.flm   17.9434   0.0037   17.9449   -0.0015   18.1090   0.0038   18.1055    0.0035   18.1607   0.0057   18.1524    0.0083   18.4697   0.0027   18.4735   -0.0038   18.7753   0.0075   18.7859   -0.0107   19.9949   0.0065   19.9826    0.0123
sdssj232941   data/spectroscopy/mmt/sdssj232941-20151011-total.flm               17.9434   0.0037   17.9456   -0.0022   18.1090   0.0038   18.1040    0.0050   18.1607   0.0057   18.1574    0.0033   18.4697   0.0027   18.4740   -0.0043   18.7753   0.0075   18.7839   -0.0087   19.9949   0.0065   19.9781    0.0168
sdssj235144   data/spectroscopy/gemini/sdssj235144-20150915-total.flm            17.4494   0.0036   17.4394    0.0099   17.6619   0.0029   17.6703   -0.0084   18.0751   0.0027   18.0766   -0.0014   18.4595   0.0026   18.4569    0.0026   18.7868   0.0023   18.7887   -0.0018   20.0747   0.0042   20.0699    0.0048
sdssj235144   data/spectroscopy/mmt/sdssj235144-20150518-total.flm               17.4494   0.0036   17.4378    0.0116   17.6619   0.0029   17.6658   -0.0039   18.0751   0.0027   18.0804   -0.0053   18.4595   0.0026   18.4598   -0.0003   18.7868   0.0023   18.7886   -0.0018   20.0747   0.0042   20.0634    0.0114
sdssj235144   data/spectroscopy/mmt/sdssj235144-20151011-total.flm               17.4494   0.0036   17.4378    0.0115   17.6619   0.0029   17.6657   -0.0038   18.0751   0.0027   18.0797   -0.0046   18.4595   0.0026   18.4599   -0.0004   18.7868   0.0023   18.7887   -0.0018   20.0747   0.0042   20.0624    0.0123
wd0554        data/spectroscopy/gemini/wd0554-20140904-total.flm                 16.7760   0.0047   16.7803   -0.0044   17.1531   0.0033   17.1479    0.0052   17.7271   0.0049   17.7277   -0.0006   18.2205   0.0025   18.2217   -0.0012   18.6172   0.0051   18.6223   -0.0051   20.0431   0.0068   20.0357    0.0074
wd0554        data/spectroscopy/imacs/wd0554-20150124-total.flm                  16.7760   0.0047   16.7806   -0.0046   17.1531   0.0033   17.1495    0.0037   17.7271   0.0049   17.7266    0.0005   18.2205   0.0025   18.2209   -0.0004   18.6172   0.0051   18.6228   -0.0056   20.0431   0.0068   20.0392    0.0039
