obj           specfile                                                               teff   errhi_teff   errlo_teff   logg   errhi_logg   errlo_logg     av   errhi_av   errlo_av     rv   errhi_rv   errlo_rv         dl   errhi_dl   errlo_dl    fwhm   errhi_fwhm   errlo_fwhm    fsig   errhi_fsig   errlo_fsig           tau    errhi_tau    errlo_tau     fw   errhi_fw   errlo_fw        mu   errhi_mu   errlo_mu
sdssj081508   data/spectroscopy/gemini/sdssj081508-20130214-total.flm            34734.98      1708.62      1108.72   7.20         0.11         0.10   0.07       0.03       0.02   3.10       0.00       0.00    9050.48     153.85     202.77    4.28         2.72         2.32    6.04        11.98         3.23    1391.53052   1989.58923    655.03066   0.02       0.04       0.02   60.0627     0.0572     0.0442
sdssj081508   data/spectroscopy/mmt/sdssj081508-20150124-total.flm               32713.90      1879.38       917.38   7.31         0.17         0.17   0.03       0.04       0.02   3.10       0.00       0.00   10655.19     329.44     528.08    5.55         4.06         3.00    8.62        14.87         5.28    5139.60693   5208.29822   2554.89231   0.03       0.04       0.02   59.9827     0.0725     0.0433
sdssj102430   data/spectroscopy/gemini/sdssj102430-20130215-total.flm            36368.02      2810.44      2000.28   7.75         0.11         0.12   0.24       0.03       0.03   3.10       0.00       0.00    6457.13     165.59     184.55    6.45         2.87         2.92   14.46        15.85         8.47    1619.04120   1338.57202    770.30588   0.02       0.04       0.02   59.1208     0.0762     0.0635
sdssj102430   data/spectroscopy/soar/sdssj102430-20170223-total.flm              36691.48      1665.84      1482.82   7.54         0.28         0.22   0.24       0.02       0.02   3.10       0.00       0.00    6094.44     273.00     120.32   12.42         6.41         7.15    2.25         6.30         1.67   10295.54443   6389.20486   5705.88688   0.03       0.05       0.02   59.1330     0.0465     0.0458
sdssj111059   data/spectroscopy/gemini/sdssj111059-20150518-total.flm            57102.45     14461.05      6334.97   7.69         0.17         0.26   0.19       0.03       0.02   3.10       0.00       0.00    4327.83     162.04     191.16    4.87         5.10         3.16   39.33         8.13        15.83    1293.91449    329.08406    393.94297   0.02       0.04       0.02   58.6547     0.1834     0.0963
sdssj111059   data/spectroscopy/mmt/sdssj111059-20150124-total.flm               46297.79      1839.06      2338.63   7.85         0.12         0.12   0.15       0.01       0.01   3.10       0.00       0.00    4914.94      92.42      79.13    5.85         4.28         3.36    6.83        11.75         3.32    1607.75903   2064.97034    717.47914   0.03       0.05       0.02   58.4810     0.0333     0.0451
sdssj111127   data/spectroscopy/mmt/sdssj111127-20150124-total.flm               59422.05      2105.07      2257.43   7.76         0.12         0.13   0.03       0.01       0.01   3.10       0.00       0.00    6328.97      97.30      85.59    5.86         4.56         3.42    4.48        10.26         3.09    3717.18835   5856.96313   2394.90961   0.03       0.04       0.02   59.4479     0.0279     0.0310
sdssj111127   data/spectroscopy/mmt/sdssj111127-20150518-total.flm               66037.76      4939.06      2643.04   7.57         0.12         0.13   0.04       0.01       0.01   3.10       0.00       0.00    6802.97     146.32      95.84    5.99         4.33         3.47    4.55        10.84         2.69    2800.63928   4864.89951   1530.11201   0.03       0.04       0.02   59.5358     0.0582     0.0328
sdssj120650   data/spectroscopy/gemini/sdssj120650-20130310-total.flm            23433.52       455.92       407.63   7.94         0.05         0.05   0.04       0.02       0.02   3.10       0.00       0.00    3899.79      27.91      30.73    4.76         1.06         0.97    6.44         9.61         2.45     760.29309    783.78151    206.02972   0.02       0.04       0.02   58.2118     0.0177     0.0163
sdssj121405   data/spectroscopy/gemini/sdssj121405-20150218-total.flm            33749.57       707.37       464.97   7.96         0.08         0.10   0.01       0.01       0.01   3.10       0.00       0.00    4029.44      46.73      56.75    3.80         2.70         2.13   28.45        14.14        14.09    2988.91614   1270.74259   1292.28509   0.02       0.02       0.01   58.1144     0.0274     0.0189
