           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3520.00000000   0.54457800   0.05733410   0.47944315   0.50144926       0.00679803    0.04312874  
  3521.00000000   0.51709100   0.05602200   0.47919229   0.50134192       0.00673369    0.01574908  
  3522.00000000   0.49758300   0.05465330   0.47888402   0.50117739       0.00664066   -0.00359439  
  3523.00000000   0.54458100   0.05556240   0.47852790   0.50096519       0.00653981    0.04361581  
  3524.00000000   0.54177000   0.05523260   0.47813642   0.50071785       0.00644850    0.04105215  
  3525.00000000   0.51879600   0.05496730   0.47772188   0.50044765       0.00637309    0.01834835  
  3526.00000000   0.46222400   0.05332160   0.47729409   0.50016440       0.00631141   -0.03794040  
  3527.00000000   0.44648600   0.05228770   0.47685971   0.49987477       0.00625862   -0.05338877  
  3528.00000000   0.42320300   0.05244660   0.47642262   0.49958262       0.00621062   -0.07637962  
  3529.00000000   0.44837600   0.05187930   0.47598476   0.49928992       0.00616485   -0.05091392  
  3530.00000000   0.48350200   0.05115130   0.47554699   0.49899752       0.00611980   -0.01549552  
  3531.00000000   0.50851700   0.05134620   0.47510963   0.49870571       0.00607473    0.00981129  
  3532.00000000   0.48349900   0.05204480   0.47467276   0.49841462       0.00602951   -0.01491562  
  3533.00000000   0.44411600   0.05172310   0.47423643   0.49812426       0.00598444   -0.05400826  
  3534.00000000   0.49940800   0.05299840   0.47380063   0.49783465       0.00593986    0.00157335  
  3535.00000000   0.49309700   0.05148560   0.47336534   0.49754575       0.00589580   -0.00444875  
  3536.00000000   0.50678700   0.05171880   0.47293050   0.49725751       0.00585199    0.00952949  
  3537.00000000   0.50415500   0.05123630   0.47249607   0.49696987       0.00580808    0.00718513  
  3538.00000000   0.42664800   0.04927170   0.47206199   0.49668280       0.00576393   -0.07003480  
  3539.00000000   0.45179300   0.04986770   0.47162827   0.49639629       0.00571971   -0.04460329  
  3540.00000000   0.50166100   0.05094380   0.47119496   0.49611039       0.00567578    0.00555061  
  3541.00000000   0.43571000   0.04893510   0.47076212   0.49582516       0.00563238   -0.06011516  
  3542.00000000   0.47702600   0.04949900   0.47032982   0.49554068       0.00558941   -0.01851468  
  3543.00000000   0.49741600   0.05009200   0.46989811   0.49525699       0.00554654    0.00215901  
  3544.00000000   0.48609000   0.04979040   0.46946702   0.49497412       0.00550348   -0.00888412  
  3545.00000000   0.47928100   0.04951900   0.46903655   0.49469208       0.00546237   -0.01541108  
  3546.00000000   0.46034600   0.04892070   0.46860668   0.49441084       0.00544266   -0.03406484  
  3547.00000000   0.43870900   0.04782410   0.46817736   0.49413034       0.00542817   -0.05542134  
  3548.00000000   0.44599200   0.04780360   0.46774849   0.49385049       0.00541233   -0.04785849  
  3549.00000000   0.46668700   0.04793260   0.46731997   0.49357119       0.00539817   -0.02688419  
  3550.00000000   0.49247500   0.04809290   0.46689175   0.49329238       0.00538690   -0.00081738  
  3551.00000000   0.46749800   0.04739940   0.46646387   0.49301412       0.00536783   -0.02551612  
  3552.00000000   0.46273300   0.04722150   0.46603646   0.49273651       0.00535452   -0.03000351  
  3553.00000000   0.52478500   0.04759060   0.46560966   0.49245971       0.00533552    0.03232529  
  3554.00000000   0.48621900   0.04735040   0.46518356   0.49218380       0.00532070   -0.00596480  
  3555.00000000   0.48480400   0.04707980   0.46475818   0.49190880       0.00530026   -0.00710480  
  3556.00000000   0.56201400   0.04808520   0.46433344   0.49163463       0.00528986    0.07037937  
  3557.00000000   0.48433400   0.04574190   0.46390921   0.49136116       0.00527174   -0.00702716  
  3558.00000000   0.41009300   0.04409340   0.46348541   0.49108830       0.00525199   -0.08099530  
  3559.00000000   0.44549300   0.04521720   0.46306200   0.49081601       0.00523140   -0.04532301  
  3560.00000000   0.48647900   0.04566700   0.46263899   0.49054431       0.00521176   -0.00406531  
  3561.00000000   0.49516400   0.04529420   0.46221643   0.49027324       0.00519871    0.00489076  
  3562.00000000   0.51475800   0.04542260   0.46179432   0.49000279       0.00512559    0.02475521  
  3563.00000000   0.53525700   0.04633380   0.46137261   0.48973294       0.00503039    0.04552406  
  3564.00000000   0.48318200   0.04425830   0.46095127   0.48946362       0.00493623   -0.00628162  
  3565.00000000   0.50200200   0.04442940   0.46053028   0.48919483       0.00484316    0.01280717  
  3566.00000000   0.48905200   0.04466900   0.46010966   0.48892659       0.00475111    0.00012541  
  3567.00000000   0.47600600   0.04393190   0.45968949   0.48865896       0.00466001   -0.01265296  
  3568.00000000   0.51784200   0.04437660   0.45926984   0.48839202       0.00456975    0.02944998  
  3569.00000000   0.50906900   0.04422230   0.45885075   0.48812582       0.00448027    0.02094318  
  3570.00000000   0.49464900   0.04392670   0.45843227   0.48786039       0.00443363    0.00678861  
  3571.00000000   0.49706000   0.04357120   0.45801437   0.48759571       0.00439426    0.00946429  
  3572.00000000   0.51688800   0.04363700   0.45759702   0.48733174       0.00435510    0.02955626  
  3573.00000000   0.48546100   0.04392910   0.45718018   0.48706845       0.00431617   -0.00160745  
  3574.00000000   0.50144900   0.04342060   0.45676379   0.48680577       0.00427751    0.01464323  
  3575.00000000   0.45198100   0.04311220   0.45634782   0.48654367       0.00423904   -0.03456267  
  3576.00000000   0.45968300   0.04231160   0.45593226   0.48628215       0.00420057   -0.02659915  
  3577.00000000   0.49201700   0.04261940   0.45551716   0.48602125       0.00416188    0.00599575  
  3578.00000000   0.46997400   0.04252680   0.45510259   0.48576103       0.00412297   -0.01578703  
  3579.00000000   0.45836800   0.04218470   0.45468864   0.48550159       0.00408412   -0.02713359  
  3580.00000000   0.48934900   0.04260960   0.45427536   0.48524298       0.00404579    0.00410602  
  3581.00000000   0.48847200   0.04224220   0.45386276   0.48498520       0.00400827    0.00348680  
  3582.00000000   0.44710000   0.04212150   0.45345080   0.48472822       0.00397149   -0.03762822  
  3583.00000000   0.43535300   0.04166790   0.45303938   0.48447192       0.00393515   -0.04911892  
  3584.00000000   0.45202600   0.04109810   0.45262838   0.48421620       0.00389894   -0.03219020  
  3585.00000000   0.46775100   0.04114670   0.45221770   0.48396095       0.00386264   -0.01620995  
  3586.00000000   0.48389000   0.04134070   0.45180727   0.48370609       0.00382609    0.00018391  
  3587.00000000   0.44003700   0.04086560   0.45139705   0.48345158       0.00378920   -0.04341458  
  3588.00000000   0.46155700   0.04103210   0.45098700   0.48319739       0.00375200   -0.02164039  
  3589.00000000   0.47470000   0.04110010   0.45057715   0.48294354       0.00371460   -0.00824354  
  3590.00000000   0.46543600   0.03993350   0.45016755   0.48269008       0.00367721   -0.01725408  
  3591.00000000   0.48699200   0.03984200   0.44975829   0.48243709       0.00363998    0.00455491  
  3592.00000000   0.47142600   0.03962210   0.44934949   0.48218470       0.00360302   -0.01075870  
  3593.00000000   0.46025900   0.03986460   0.44894125   0.48193299       0.00356642   -0.02167399  
