     pb         mag    mag_err   model_mag     res_mag  
  F275W   17.449361   0.003593   17.439414    0.009947  
  F336W   17.661892   0.002863   17.670316   -0.008424  
  F475W   18.075138   0.002679   18.076577   -0.001439  
  F625W   18.459482   0.002603   18.456888    0.002594  
  F775W   18.786849   0.002299   18.788668   -0.001819  
  F160W   20.074728   0.004207   20.069897    0.004831  
