           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3500.00000000   0.12890200   0.02758240   0.16776843   0.16292184       0.00108548   -0.03401984  
  3501.00000000   0.14451000   0.02781020   0.16766713   0.16280498       0.00107757   -0.01829498  
  3502.00000000   0.17750900   0.02844070   0.16753471   0.16265698       0.00106297    0.01485202  
  3503.00000000   0.16975400   0.02811120   0.16738271   0.16248937       0.00104930    0.00726463  
  3504.00000000   0.16813000   0.02771640   0.16722169   0.16231271       0.00103931    0.00581729  
  3505.00000000   0.17116000   0.02765300   0.16705769   0.16213304       0.00103171    0.00902696  
  3506.00000000   0.13892200   0.02654370   0.16689309   0.16195273       0.00102497   -0.02303073  
  3507.00000000   0.14238800   0.02635850   0.16672854   0.16177243       0.00101855   -0.01938443  
  3508.00000000   0.12488600   0.02592590   0.16656416   0.16159229       0.00101220   -0.03670629  
  3509.00000000   0.13671200   0.02608170   0.16640001   0.16141234       0.00100571   -0.02470034  
  3510.00000000   0.16256500   0.02626340   0.16623614   0.16123263       0.00099907    0.00133237  
  3511.00000000   0.17938800   0.02673320   0.16607252   0.16105314       0.00099243    0.01833486  
  3512.00000000   0.17761200   0.02696560   0.16590904   0.16087377       0.00098596    0.01673823  
  3513.00000000   0.16826900   0.02664430   0.16574564   0.16069444       0.00097970    0.00757456  
  3514.00000000   0.17207300   0.02657850   0.16558234   0.16051517       0.00097358    0.01155783  
  3515.00000000   0.16876800   0.02651960   0.16541919   0.16033603       0.00096757    0.00843197  
  3516.00000000   0.15707600   0.02598660   0.16525621   0.16015702       0.00096157   -0.00308102  
  3517.00000000   0.15644600   0.02545480   0.16509339   0.15997813       0.00095547   -0.00353213  
  3518.00000000   0.17180600   0.02586200   0.16493077   0.15979941       0.00094929    0.01200659  
  3519.00000000   0.16185800   0.02554290   0.16476845   0.15962096       0.00094320    0.00223704  
  3520.00000000   0.15023700   0.02484560   0.16460648   0.15944283       0.00093726   -0.00920583  
  3521.00000000   0.15246100   0.02473420   0.16444483   0.15926499       0.00093134   -0.00680399  
  3522.00000000   0.14821800   0.02480450   0.16428343   0.15908735       0.00093219   -0.01086935  
  3523.00000000   0.16038800   0.02474590   0.16412221   0.15890987       0.00093331    0.00147813  
  3524.00000000   0.17158400   0.02490500   0.16396119   0.15873255       0.00092165    0.01285145  
  3525.00000000   0.15778600   0.02488510   0.16380040   0.15855543       0.00091028   -0.00076943  
  3526.00000000   0.13722100   0.02436850   0.16363981   0.15837847       0.00090099   -0.02115747  
  3527.00000000   0.15972700   0.02469400   0.16347929   0.15820155       0.00089521    0.00152545  
  3528.00000000   0.17040300   0.02503810   0.16331884   0.15802466       0.00088922    0.01237834  
  3529.00000000   0.18282900   0.02505070   0.16315859   0.15784794       0.00088313    0.02498106  
  3530.00000000   0.17953300   0.02478180   0.16299868   0.15767153       0.00087720    0.02186147  
  3531.00000000   0.16078600   0.02471640   0.16283909   0.15749540       0.00087148    0.00329060  
  3532.00000000   0.16776000   0.02506810   0.16267965   0.15731938       0.00086579    0.01044062  
  3533.00000000   0.15621800   0.02490020   0.16252024   0.15714336       0.00086001   -0.00092536  
  3534.00000000   0.14889500   0.02474610   0.16236089   0.15696737       0.00085421   -0.00807237  
  3535.00000000   0.16106700   0.02484590   0.16220173   0.15679153       0.00084843    0.00427547  
  3536.00000000   0.17026800   0.02494650   0.16204285   0.15661593       0.00084266    0.01365207  
  3537.00000000   0.16942300   0.02524830   0.16188425   0.15644059       0.00083692    0.01298241  
  3538.00000000   0.16857800   0.02496410   0.16172582   0.15626536       0.00083119    0.01231264  
  3539.00000000   0.16773300   0.02463410   0.16156744   0.15609017       0.00082547    0.01164283  
  3540.00000000   0.16688800   0.02530860   0.16140919   0.15591506       0.00081981    0.01097294  
  3541.00000000   0.16604200   0.02461980   0.16125121   0.15574019       0.00081426    0.01030181  
  3542.00000000   0.16519700   0.02380690   0.16109362   0.15556567       0.00080883    0.00963133  
  3543.00000000   0.16519700   0.02404140   0.16093635   0.15539144       0.00080344    0.00980556  
  3544.00000000   0.16393100   0.02366680   0.16077930   0.15521739       0.00079803    0.00871361  
  3545.00000000   0.15720900   0.02359100   0.16062238   0.15504344       0.00079258    0.00216556  
  3546.00000000   0.14739000   0.02301630   0.16046558   0.15486957       0.00078706   -0.00747957  
  3547.00000000   0.16226400   0.02329510   0.16030891   0.15469579       0.00078155    0.00756821  
  3548.00000000   0.17115300   0.02345030   0.16015242   0.15452216       0.00077615    0.01663084  
  3549.00000000   0.15539200   0.02281980   0.15999613   0.15434870       0.00077083    0.00104330  
  3550.00000000   0.14210600   0.02244120   0.15984003   0.15417539       0.00076545   -0.01206939  
  3551.00000000   0.14588200   0.02255860   0.15968414   0.15400226       0.00076948   -0.00812026  
  3552.00000000   0.14486100   0.02227080   0.15952847   0.15382930       0.00078202   -0.00896830  
  3553.00000000   0.13342600   0.02153240   0.15937295   0.15365647       0.00079437   -0.02023047  
  3554.00000000   0.15802500   0.02207800   0.15921756   0.15348373       0.00080644    0.00454127  
  3555.00000000   0.16289500   0.02189220   0.15906232   0.15331111       0.00081829    0.00958389  
  3556.00000000   0.14994100   0.02135510   0.15890734   0.15313870       0.00082780   -0.00319770  
  3557.00000000   0.15428500   0.02143530   0.15875261   0.15296653       0.00082049    0.00131847  
  3558.00000000   0.14884600   0.02140790   0.15859805   0.15279448       0.00081321   -0.00394848  
  3559.00000000   0.14031100   0.02095820   0.15844356   0.15262247       0.00080599   -0.01231147  
  3560.00000000   0.14620600   0.02086850   0.15828914   0.15245048       0.00079882   -0.00624448  
  3561.00000000   0.14903300   0.02129030   0.15813485   0.15227860       0.00079165   -0.00324560  
  3562.00000000   0.15185900   0.02201010   0.15798079   0.15210691       0.00078447   -0.00024791  
  3563.00000000   0.15468600   0.02152720   0.15782700   0.15193546       0.00077729    0.00275054  
  3564.00000000   0.15468600   0.02075440   0.15767349   0.15176425       0.00077011    0.00292175  
  3565.00000000   0.16053700   0.02087620   0.15752026   0.15159329       0.00076293    0.00894371  
  3566.00000000   0.15156500   0.02034600   0.15736731   0.15142258       0.00075575    0.00014242  
  3567.00000000   0.14977800   0.02018290   0.15721463   0.15125209       0.00074861   -0.00147409  
  3568.00000000   0.16639500   0.02039750   0.15706217   0.15108180       0.00074156    0.01531320  
  3569.00000000   0.16149100   0.02017740   0.15690992   0.15091167       0.00073464    0.01057933  
  3570.00000000   0.14459400   0.01970010   0.15675786   0.15074170       0.00072783   -0.00614770  
  3571.00000000   0.14501900   0.01978700   0.15660599   0.15057190       0.00072112   -0.00555290  
  3572.00000000   0.15167900   0.01965930   0.15645433   0.15040226       0.00071446    0.00127674  
  3573.00000000   0.15643500   0.01929590   0.15630280   0.15023273       0.00070786    0.00620227  
  3574.00000000   0.15738000   0.01939260   0.15615133   0.15006321       0.00070133    0.00731679  
  3575.00000000   0.15106400   0.01934300   0.15599988   0.14989367       0.00069485    0.00117033  
  3576.00000000   0.15982300   0.01949910   0.15584845   0.14972413       0.00068837    0.01009887  
  3577.00000000   0.14950700   0.01928110   0.15569710   0.14955464       0.00068185   -0.00004764  
  3578.00000000   0.14106700   0.01925030   0.15554588   0.14938523       0.00067529   -0.00831823  
  3579.00000000   0.15869100   0.01940040   0.15539482   0.14921595       0.00066874    0.00947505  
  3580.00000000   0.16075500   0.01912880   0.15524399   0.14904687       0.00066223    0.01170813  
  3581.00000000   0.14842800   0.01877870   0.15509352   0.14887811       0.00065574   -0.00045011  
  3582.00000000   0.14334700   0.01871870   0.15494343   0.14870970       0.00064921   -0.00536270  
  3583.00000000   0.14523300   0.01876860   0.15479366   0.14854158       0.00064269   -0.00330858  
  3584.00000000   0.13492600   0.01834140   0.15464407   0.14837359       0.00063625   -0.01344759  
