     pb         mag    mag_err   model_mag     res_mag  
  F275W   18.950493   0.006453   18.946471    0.004022  
  F336W   19.263547   0.007957   19.268396   -0.004849  
  F475W   19.716230   0.005304   19.717850   -0.001620  
  F625W   20.183825   0.005250   20.187711   -0.003886  
  F775W   20.579395   0.006373   20.574643    0.004752  
  F160W   21.961633   0.024312   21.946163    0.015470  
