     pb         mag    mag_err   model_mag     res_mag  
  F275W   17.163590   0.002798   17.156598    0.006992  
  F336W   17.471486   0.002905   17.477244   -0.005758  
  F475W   17.993267   0.002639   17.995638   -0.002371  
  F625W   18.456731   0.002455   18.457496   -0.000765  
  F775W   18.837015   0.002941   18.835710    0.001305  
  F160W   20.216634   0.006836   20.199004    0.017630  
