     pb         mag    mag_err   model_mag     res_mag  
  F275W   16.499867   0.002354   16.497672    0.002195  
  F336W   16.876623   0.002371   16.880261   -0.003638  
  F475W   17.470177   0.002712   17.469970    0.000207  
  F625W   17.991717   0.001794   17.986354    0.005363  
  F775W   18.388029   0.001893   18.396248   -0.008219  
  F160W   19.834259   0.004692   19.815941    0.018318  
