     pb         mag    mag_err   model_mag     res_mag  
  F275W   18.257729   0.004248   18.261441   -0.003712  
  F336W   18.596864   0.005084   18.589971    0.006893  
  F475W   19.101794   0.004836   19.099972    0.001822  
  F625W   19.566759   0.004588   19.570501   -0.003742  
  F775W   19.955301   0.009137   19.955745   -0.000444  
  F160W   21.328409   0.012334   21.330664   -0.002255  
