           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3400.00000000   0.80371600   0.01682100   0.80864857   0.81662429       0.00218258   -0.01290829  
  3402.00000000   0.80544200   0.01675460   0.80749890   0.81547251       0.00194742   -0.01003051  
  3404.00000000   0.83557400   0.01693930   0.80594779   0.81391927       0.00153243    0.02165473  
  3406.00000000   0.83909700   0.01690980   0.80424737   0.81221672       0.00157728    0.02688028  
  3408.00000000   0.83819200   0.01687280   0.80252099   0.81048820       0.00155436    0.02770380  
  3410.00000000   0.81367700   0.01661290   0.80079607   0.80876111       0.00153286    0.00491589  
  3412.00000000   0.78832600   0.01632990   0.79907592   0.80703879       0.00150815   -0.01871279  
  3414.00000000   0.80150500   0.01642310   0.79736119   0.80532188       0.00149172   -0.00381688  
  3416.00000000   0.80425200   0.01641240   0.79565170   0.80361021       0.00146651    0.00064179  
  3418.00000000   0.78570200   0.01624260   0.79394653   0.80190283       0.00145494   -0.01620083  
  3420.00000000   0.77680300   0.01613800   0.79224452   0.80019862       0.00142904   -0.02339562  
  3422.00000000   0.78832600   0.01617450   0.79054607   0.79849794       0.00140770   -0.01017194  
  3424.00000000   0.79819700   0.01620350   0.78885237   0.79680201       0.00138576    0.00139499  
  3426.00000000   0.79112200   0.01611060   0.78716355   0.79511095       0.00137200   -0.00398895  
  3428.00000000   0.79176300   0.01607000   0.78547918   0.79342433       0.00134608   -0.00166133  
  3430.00000000   0.77999700   0.01594900   0.78379972   0.79174261       0.00132651   -0.01174561  
  3432.00000000   0.76612100   0.01580960   0.78212556   0.79006617       0.00130780   -0.02394517  
  3434.00000000   0.76537200   0.01576910   0.78045618   0.78839451       0.00129062   -0.02302251  
  3436.00000000   0.76694100   0.01571160   0.77879119   0.78672722       0.00126660   -0.01978622  
  3438.00000000   0.78724400   0.01584670   0.77713051   0.78506424       0.00125055    0.00217976  
  3440.00000000   0.76507700   0.01562140   0.77547414   0.78340555       0.00122751   -0.01832855  
  3442.00000000   0.75066800   0.01542760   0.77382247   0.78175155       0.00120738   -0.03108355  
  3444.00000000   0.76158600   0.01547690   0.77217567   0.78010241       0.00118979   -0.01851641  
  3446.00000000   0.76038400   0.01543110   0.77053287   0.77845725       0.00117392   -0.01807325  
  3448.00000000   0.76794000   0.01548570   0.76889321   0.77681522       0.00115234   -0.00887522  
  3450.00000000   0.78170700   0.01563350   0.76725707   0.77517669       0.00113276    0.00653031  
  3452.00000000   0.77733100   0.01559070   0.76562568   0.77354289       0.00111019    0.00378811  
  3454.00000000   0.77308100   0.01549970   0.76399978   0.77191458       0.00109261    0.00116642  
  3456.00000000   0.76198900   0.01539020   0.76237868   0.77029104       0.00107873   -0.00830204  
  3458.00000000   0.75000000   0.01525790   0.76076148   0.76867139       0.00105465   -0.01867139  
  3460.00000000   0.75656000   0.01523520   0.75914866   0.76705609       0.00103389   -0.01049609  
  3462.00000000   0.75121100   0.01511050   0.75754063   0.76544556       0.00101882   -0.01423456  
  3464.00000000   0.74119800   0.01497110   0.75593664   0.76383905       0.00100050   -0.02264105  
  3466.00000000   0.74943300   0.01500130   0.75433602   0.76223589       0.00098279   -0.01280289  
  3468.00000000   0.73783100   0.01487510   0.75273914   0.76063645       0.00095931   -0.02280545  
  3470.00000000   0.75268300   0.01494530   0.75114676   0.75904148       0.00094414   -0.00635848  
  3472.00000000   0.76323400   0.01497600   0.74955895   0.75745105       0.00092284    0.00578295  
  3474.00000000   0.77025400   0.01502050   0.74797522   0.75586467       0.00090896    0.01438933  
  3476.00000000   0.75440500   0.01488730   0.74639558   0.75428236       0.00088485    0.00012264  
  3478.00000000   0.76477300   0.01501910   0.74482072   0.75270480       0.00086944    0.01206820  
  3480.00000000   0.76648700   0.01510210   0.74325067   0.75113201       0.00085337    0.01535499  
  3482.00000000   0.75065600   0.01502610   0.74168469   0.74956326       0.00083559    0.00109274  
  3484.00000000   0.72931300   0.01479480   0.74012259   0.74799836       0.00081387   -0.01868536  
  3486.00000000   0.71992900   0.01463200   0.73856435   0.74643728       0.00080097   -0.02650828  
  3488.00000000   0.72009700   0.01457080   0.73700949   0.74487955       0.00078000   -0.02478255  
  3490.00000000   0.73457500   0.01466220   0.73545790   0.74332504       0.00076341   -0.00875004  
  3492.00000000   0.75385600   0.01478560   0.73391015   0.74177434       0.00074304    0.01208166  
  3494.00000000   0.72995800   0.01449060   0.73236695   0.74022814       0.00072885   -0.01027014  
  3496.00000000   0.75920400   0.01470810   0.73082860   0.73868675       0.00070797    0.02051725  
  3498.00000000   0.72586300   0.01438020   0.72929486   0.73714992       0.00069512   -0.01128692  
  3500.00000000   0.72047000   0.01430570   0.72776545   0.73561739       0.00067215   -0.01514739  
  3502.00000000   0.71932400   0.01427170   0.72624019   0.73408895       0.00066357   -0.01476495  
  3504.00000000   0.72313800   0.01424110   0.72471857   0.73256411       0.00064078   -0.00942611  
