     pb         mag    mag_err   model_mag     res_mag  
  F275W   17.442895   0.004430   17.442218    0.000677  
  F336W   17.829846   0.005629   17.826232    0.003614  
  F475W   18.420575   0.002839   18.420927   -0.000352  
  F625W   18.939016   0.003770   18.937802    0.001214  
  F775W   19.344129   0.002549   19.347621   -0.003492  
  F160W   20.797477   0.009115   20.767619    0.029858  
