     pb         mag    mag_err   model_mag     res_mag  
  F275W   18.068120   0.003976   18.066862    0.001258  
  F336W   18.334394   0.004330   18.333726    0.000668  
  F475W   18.655974   0.002999   18.655982   -0.000008  
  F625W   19.063643   0.002371   19.062863    0.000780  
  F775W   19.413955   0.003840   19.419256   -0.005301  
  F160W   20.739627   0.008189   20.728301    0.011326  
