           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3400.00000000   0.30742500   0.01315220   0.29701300   0.29848423       0.00091341    0.00894077  
  3402.00000000   0.31648200   0.01318700   0.29667674   0.29813911       0.00091726    0.01834289  
  3404.00000000   0.30193800   0.01288130   0.29624526   0.29769874       0.00084818    0.00423926  
  3406.00000000   0.28898400   0.01256680   0.29574641   0.29719099       0.00084877   -0.00820699  
  3408.00000000   0.28948200   0.01246790   0.29520984   0.29664549       0.00084541   -0.00716349  
  3410.00000000   0.30141900   0.01252060   0.29465676   0.29608347       0.00084972    0.00533553  
  3412.00000000   0.30200700   0.01252330   0.29409838   0.29551612       0.00084809    0.00649088  
  3414.00000000   0.28330700   0.01236830   0.29353921   0.29494796       0.00084099   -0.01164096  
  3416.00000000   0.27608200   0.01234360   0.29298068   0.29438043       0.00082671   -0.01829843  
  3418.00000000   0.30150300   0.01272610   0.29242313   0.29381386       0.00081284    0.00768914  
  3420.00000000   0.30463100   0.01278850   0.29186664   0.29324834       0.00079920    0.01138266  
  3422.00000000   0.29247700   0.01263120   0.29131135   0.29268399       0.00078561   -0.00020699  
  3424.00000000   0.31424800   0.01289620   0.29075753   0.29212109       0.00077231    0.02212691  
  3426.00000000   0.30008000   0.01265330   0.29020539   0.29155985       0.00076315    0.00852015  
  3428.00000000   0.28825900   0.01241150   0.28965491   0.29100025       0.00076363   -0.00274125  
  3430.00000000   0.29025400   0.01239560   0.28910588   0.29044209       0.00077372   -0.00018809  
  3432.00000000   0.27711500   0.01223500   0.28855809   0.28988514       0.00078365   -0.01277014  
  3434.00000000   0.27234900   0.01216360   0.28801148   0.28932936       0.00079342   -0.01698036  
  3436.00000000   0.27626300   0.01220850   0.28746613   0.28877481       0.00079925   -0.01251181  
  3438.00000000   0.28004700   0.01226130   0.28692215   0.28822163       0.00078756   -0.00817463  
  3440.00000000   0.27471500   0.01206570   0.28637962   0.28766987       0.00077591   -0.01295487  
  3442.00000000   0.27482800   0.01186630   0.28583846   0.28711946       0.00076433   -0.01229146  
  3444.00000000   0.28264600   0.01186910   0.28529851   0.28657024       0.00075287   -0.00392424  
  3446.00000000   0.28459900   0.01187990   0.28475961   0.28602205       0.00074153   -0.00142305  
  3448.00000000   0.27798800   0.01195910   0.28422170   0.28547484       0.00073030   -0.00748684  
  3450.00000000   0.28319100   0.01224400   0.28368485   0.28492867       0.00070564   -0.00173767  
  3452.00000000   0.28446300   0.01233640   0.28314922   0.28438370       0.00067796    0.00007930  
  3454.00000000   0.28322300   0.01232510   0.28261505   0.28384016       0.00065021   -0.00061716  
  3456.00000000   0.27016400   0.01212310   0.28208253   0.28329825       0.00064126   -0.01313425  
  3458.00000000   0.26439300   0.01196970   0.28155172   0.28275805       0.00063403   -0.01836505  
  3460.00000000   0.28498800   0.01206220   0.28102246   0.28221935       0.00062694    0.00276865  
  3462.00000000   0.27944500   0.01180110   0.28049432   0.28168177       0.00062000   -0.00223677  
  3464.00000000   0.26493000   0.01149290   0.27996696   0.28114494       0.00061325   -0.01621494  
  3466.00000000   0.26964600   0.01137370   0.27944033   0.28060882       0.00060904   -0.01096282  
  3468.00000000   0.28382300   0.01145600   0.27891477   0.28007375       0.00061352    0.00374925  
  3470.00000000   0.28812200   0.01145300   0.27839071   0.27954015       0.00060995    0.00858185  
  3472.00000000   0.28545600   0.01142310   0.27786833   0.27900821       0.00059923    0.00644779  
  3474.00000000   0.26910800   0.01127700   0.27734746   0.27847775       0.00058843   -0.00936975  
  3476.00000000   0.27097900   0.01144170   0.27682776   0.27794844       0.00057783   -0.00696944  
  3478.00000000   0.27909400   0.01180220   0.27630903   0.27742008       0.00057023    0.00167392  
  3480.00000000   0.27574100   0.01204150   0.27579129   0.27689268       0.00056451   -0.00115168  
  3482.00000000   0.27559900   0.01224250   0.27527470   0.27636640       0.00054796   -0.00076740  
  3484.00000000   0.26599200   0.01222120   0.27475938   0.27584136       0.00053716   -0.00984936  
  3486.00000000   0.26037800   0.01199680   0.27424537   0.27531760       0.00052701   -0.01493960  
  3488.00000000   0.27926700   0.01195980   0.27373267   0.27479513       0.00051702    0.00447187  
  3490.00000000   0.27454000   0.01172540   0.27322132   0.27427398       0.00050706    0.00026602  
  3492.00000000   0.26694300   0.01140930   0.27271130   0.27375414       0.00048198   -0.00681114  
  3494.00000000   0.26409300   0.01118020   0.27220248   0.27323546       0.00045201   -0.00914246  
  3496.00000000   0.25869700   0.01098610   0.27169475   0.27271783       0.00045352   -0.01402083  
  3498.00000000   0.27749800   0.01111550   0.27118811   0.27220127       0.00046079    0.00529673  
  3500.00000000   0.27816000   0.01110360   0.27068264   0.27168585       0.00045316    0.00647415  
  3502.00000000   0.27101700   0.01088960   0.27017835   0.27117157       0.00043664   -0.00015457  
  3504.00000000   0.26679300   0.01074330   0.26967521   0.27065840       0.00042036   -0.00386540  
  3506.00000000   0.27424800   0.01080790   0.26917325   0.27014639       0.00040431    0.00410161  
  3508.00000000   0.26300500   0.01073860   0.26867261   0.26963566       0.00039873   -0.00663066  
  3510.00000000   0.26023400   0.01070750   0.26817333   0.26912625       0.00040015   -0.00889225  
  3512.00000000   0.26507800   0.01074310   0.26767531   0.26861806       0.00040140   -0.00354006  
  3514.00000000   0.26413600   0.01066690   0.26717836   0.26811090       0.00039252   -0.00397490  
  3516.00000000   0.26398000   0.01066000   0.26668234   0.26760464       0.00038361   -0.00362464  
  3518.00000000   0.26519500   0.01057920   0.26618722   0.26709924       0.00038149   -0.00190424  
  3520.00000000   0.27221400   0.01050290   0.26569310   0.26659479       0.00039062    0.00561921  
  3522.00000000   0.26938600   0.01050490   0.26520015   0.26609148       0.00039986    0.00329452  
  3524.00000000   0.28126600   0.01061920   0.26470856   0.26558948       0.00040930    0.01567652  
  3526.00000000   0.27736700   0.01049980   0.26421838   0.26508886       0.00041283    0.01227814  
  3528.00000000   0.26714400   0.01027910   0.26372951   0.26458948       0.00040789    0.00255452  
  3530.00000000   0.26544000   0.01027750   0.26324174   0.26409118       0.00039006    0.00134882  
  3532.00000000   0.26842200   0.01031830   0.26275494   0.26359379       0.00036421    0.00482821  
  3534.00000000   0.26178100   0.01027470   0.26226903   0.26309725       0.00034581   -0.00131625  
  3536.00000000   0.26439200   0.01033800   0.26178407   0.26260161       0.00032455    0.00179039  
  3538.00000000   0.25922600   0.01053730   0.26130024   0.26210706       0.00032934   -0.00288106  
