     pb         mag    mag_err   model_mag     res_mag  
  F275W   12.201587   0.001575   12.203659   -0.002072  
  F336W   12.567909   0.001464   12.565941    0.001968  
  F475W   13.099788   0.001796   13.097815    0.001973  
  F625W   13.597642   0.001416   13.597723   -0.000081  
  F775W   14.001740   0.001340   14.002917   -0.001177  
  F160W   15.413902   0.001745   15.413773    0.000129  
