   OBJECT-NAME              FILTER    FITS-FILE               EXPTIME      BCKGRMS           X            Y           FMAG         ERRMAG           SKY          MJD   
             WD-1635+008    F625W    icmd26m0q_flc.fits    300.0000        4.9775         246.7901     244.8237      23.8594       0.0040          9.708     57110.9574
             WD-1635+008    F775W    icmd26m3q_flc.fits    500.0000        4.9549         247.0008     246.1837      24.9070       0.0051         10.220     57110.9617
             WD-1635+008    F336W    icmd26m6q_flc.fits    100.0000        4.6930         246.9669     245.1156      23.7570       0.0069          1.519     57110.9684
             WD-1635+008    F475W    icmd26m7q_flc.fits    120.0000        5.2397         246.9685     244.8255      23.2463       0.0048          6.636     57110.9705
             WD-2034-053    F275W    icmd27ckq_flc.fits    220.0000        4.6772         251.9026     258.7065      24.2234       0.0056          1.951     56908.4463
             WD-2034-053    F275W    icmd27cmq_flc.fits    220.0000        4.6843         251.9058     258.2895      24.2629       0.0057          2.334     56908.4495
             WD-2034-053    F275W    icmd27cpq_flc.fits    220.0000        4.6682         251.8479     258.2466      24.2642       0.0057          1.896     56908.4527
             WD-2034-053    F625W    icmd27cqq_flc.fits    300.0000        4.9999         251.1986     258.1723      23.9261       0.0041          9.390     56908.4562
             WD-2034-053    F775W    icmd27ctq_flc.fits    500.0000        4.8967         251.8193     260.0188      24.9280       0.0052          9.523     56908.4605
             WD-2034-053    F336W    icmd27cwq_flc.fits    100.0000        4.6623         251.6841     258.9684      23.9826       0.0078          1.416     56908.4672
             WD-2034-053    F475W    icmd27cxq_flc.fits    120.0000        4.8172         251.6607     258.2628      23.3587       0.0050          3.923     56908.4693
             WD-2327-000    F275W    icmd28d3q_flc.fits    220.0000        4.7106         253.8573     254.9050      23.9461       0.0048          2.166     56908.5211
             WD-2327-000    F275W    icmd28d5q_flc.fits    220.0000        4.6893         253.8295     254.9175      23.9456       0.0048          1.455     56908.5243
             WD-2327-000    F275W    icmd28d8q_flc.fits    220.0000        4.7145         253.8289     254.9261      23.9524       0.0048          1.882     56908.5275
             WD-2327-000    F625W    icmd28d9q_flc.fits    300.0000        5.1318         253.2038     254.8994      23.0429       0.0026         12.590     56908.5310
             WD-2327-000    F775W    icmd28dcq_flc.fits    500.0000        5.0671         253.8581     256.7309      24.0176       0.0032         12.754     56908.5353
             WD-2327-000    F336W    icmd28dfq_flc.fits    100.0000        4.6151         253.7570     255.2041      23.5474       0.0061          1.744     56908.5420
             WD-2327-000    F475W    icmd28dgq_flc.fits    120.0000        4.9675         253.7390     254.8907      22.5748       0.0034          5.199     56908.5441
                   GD-71    F275W    icmd51djq_flc.fits      2.0000        4.6367         245.9358     266.9875      17.9951       0.0032          3.751     56908.5957
                   GD-71    F275W    icmd51dkq_flc.fits      2.0000        4.6831         245.9877     267.0003      17.9870       0.0031          4.496     56908.5965
                   GD-71    F275W    icmd51dlq_flc.fits      2.0000        4.6295         245.9383     267.0060      17.9897       0.0031          3.990     56908.5972
                   GD-71    F275W    icmd51dmq_flc.fits      2.0000        4.6713         245.9579     266.9998      17.9897       0.0031          4.511     56908.5979
                   GD-71    F336W    icmd51dnq_flc.fits      1.5000        4.5281         245.8935     267.6961      17.7696       0.0033          2.793     56908.5989
