   OBJECT-NAME              FILTER    FITS-FILE               EXPTIME      BCKGRMS           X            Y           FMAG         ERRMAG           SKY          MJD   
SDSS-J010322.19-002047.7    F475W    ibyn01woq_flc.fits    120.0000        5.0926        2048.0605    1030.6516      23.5218       0.0055          3.508     56548.8427
SDSS-J010322.19-002047.7    F775W    ibyn01wqq_flc.fits    605.0000        5.4897        2048.0540    1031.8583      25.2411       0.0056         12.831     56548.8459
SDSS-J010322.19-002047.7    F625W    ibyn01wtq_flc.fits    350.0000        5.5296        2047.9679    1030.1414      24.1897       0.0044         15.283     56548.8547
SDSS-J010322.19-002047.7    F336W    ibyn01wxq_flc.fits    160.0000        5.4308        2047.8894    1030.2123      23.9655       0.0060          1.239     56548.9073
SDSS-J010322.19-002047.7    F336W    ibyn01x0q_flc.fits    160.0000        5.3673        2047.9001    1030.2070      23.9822       0.0060          1.249     56548.9107
SDSS-J010322.19-002047.7    F336W    ibyn01x2q_flc.fits    160.0000        5.5248        2085.8904    1065.9401      23.9714       0.0060          1.264     56548.9705
SDSS-J010322.19-002047.7    F775W    ibyn01x5q_flc.fits    680.0000        5.7935        2086.0422    1067.0891      25.2267       0.0053         14.214     56548.9742
SDSS-J010322.19-002047.7    F625W    ibyn01x8q_flc.fits    355.0000        5.2726        2085.9697    1065.8485      24.1718       0.0043         12.278     56548.9838
SDSS-J010322.19-002047.7    F475W    ibyn01xjq_flc.fits    160.0000        5.1813        2086.1172    1065.9305      23.5178       0.0047          4.252     56549.0476
SDSS-J010322.19-002047.7    F475W    ibyn01xmq_flc.fits    160.0000        5.3164        2086.1106    1065.9720      23.5124       0.0047          4.337     56549.0511
             WD-0408-066    F475W    ibyn02l8q_flc.fits    120.0000        5.1790        2045.7559    1027.8904      23.3100       0.0050          3.574     56531.8936
             WD-0408-066    F775W    ibyn02laq_flc.fits    605.0000        5.5643        2045.7437    1029.0042      24.6544       0.0041         12.378     56531.8968
             WD-0408-066    F625W    ibyn02ldq_flc.fits    350.0000        5.3660        2045.1885    1027.7565      23.8624       0.0037         11.862     56531.9056
             WD-0408-066    F336W    ibyn02lhq_flc.fits    160.0000        5.4074        2045.1919    1027.8738      23.8498       0.0056          1.873     56531.9186
             WD-0408-066    F336W    ibyn02lkq_flc.fits    160.0000        5.6032        2045.2091    1027.8726      23.8456       0.0056          1.842     56531.9221
             WD-0408-066    F336W    ibyn02lmq_flc.fits    160.0000        5.3444        2083.1333    1063.0780      23.8439       0.0056          1.163     56531.9560
             WD-0408-066    F775W    ibyn02lpq_flc.fits    680.0000        5.8493        2083.2734    1064.7373      24.6687       0.0039         13.791     56531.9597
             WD-0408-066    F625W    ibyn02lsq_flc.fits    355.0000        5.3455        2083.1704    1062.9944      23.8588       0.0036         11.292     56531.9693
             WD-0408-066    F475W    ibyn02lwq_flc.fits    160.0000        5.3896        2083.7559    1063.1814      23.3094       0.0042          5.097     56531.9824
             WD-0408-066    F475W    ibyn02lzq_flc.fits    160.0000        5.5786        2083.7708    1063.1936      23.3098       0.0043          7.883     56531.9859
SDSS-J102430.93-003207.0    F475W    ibyn03vaq_flc.fits    120.0000        5.0989        2030.0137    1013.0602      23.3359       0.0050          4.415     56260.8788
SDSS-J102430.93-003207.0    F775W    ibyn03vcq_flc.fits    605.0000        5.6980        2029.9795    1014.1666      24.9446       0.0048         16.363     56260.8820
SDSS-J102430.93-003207.0    F625W    ibyn03vfq_flc.fits    350.0000        5.4506        2029.9559    1012.9204      23.9327       0.0038         15.778     56260.8908
SDSS-J102430.93-003207.0    F336W    ibyn03vjq_flc.fits    160.0000        5.4756        2029.9796    1013.0078      23.9521       0.0059          1.499     56260.9038
SDSS-J102430.93-003207.0    F336W    ibyn03vmq_flc.fits    160.0000        5.3763        2029.9812    1013.0203      23.9624       0.0060          2.293     56260.9072
SDSS-J102430.93-003207.0    F336W    ibyn03voq_flc.fits    160.0000        5.4001        2067.8079    1048.6615      23.9590       0.0060          1.647     56260.9419
SDSS-J102430.93-003207.0    F775W    ibyn03vrq_flc.fits    680.0000        5.9723        2067.9700    1049.8923      24.9316       0.0045         18.706     56260.9456
SDSS-J102430.93-003207.0    F625W    ibyn03vuq_flc.fits    355.0000        5.4641        2067.9280    1048.1431      23.9197       0.0038         15.316     56260.9552
SDSS-J102430.93-003207.0    F475W    ibyn03vyq_flc.fits    160.0000        5.3299        2068.1069    1048.7277      23.3363       0.0043          6.497     56260.9683
SDSS-J102430.93-003207.0    F475W    ibyn03w1q_flc.fits    160.0000        5.5990        2068.1108    1048.7346      23.3390       0.0044          9.061     56260.9717
             WD-1204+023    F475W    ibyn04b6q_flc.fits    120.0000        5.3477        2034.0770    1003.8024      23.1244       0.0045          6.085     56471.4514
             WD-1204+023    F775W    ibyn04b8q_flc.fits    605.0000        6.2717        2034.0336    1004.9454      24.6784       0.0043         21.718     56471.4546
             WD-1204+023    F625W    ibyn04bbq_flc.fits    350.0000        5.9409        2033.9852    1003.2002      23.6683       0.0034         19.867     56471.4634
             WD-1204+023    F336W    ibyn04bfq_flc.fits    160.0000        5.4662        2033.8438    1003.6456      23.9313       0.0059          1.654     56471.4764
             WD-1204+023    F336W    ibyn04biq_flc.fits    160.0000        5.3765        2033.8220    1003.2528      23.9276       0.0058          1.684     56471.4799
             WD-1204+023    F336W    ibyn04bkq_flc.fits    160.0000        5.5505        2071.9797    1038.9080      23.9342       0.0059          2.022     56471.5164
             WD-1204+023    F775W    ibyn04bnq_flc.fits    680.0000        6.5549        2072.0903    1040.0612      25.3976       0.0061         24.998     56471.5201
             WD-1204+023    F625W    ibyn04bqq_flc.fits    355.0000        5.8851        2072.0303    1038.7983      23.6705       0.0034         20.254     56471.5298
             WD-1204+023    F475W    ibyn04buq_flc.fits    160.0000        5.4340        2072.0549    1038.8829      23.1039       0.0038          7.086     56471.5428
             WD-1204+023    F475W    ibyn04bxq_flc.fits    160.0000        5.5035        2072.0588    1038.8623      23.0974       0.0038          7.815     56471.5463
             WD-1312-029    F475W    ibyn05tjq_flc.fits    120.0000        5.2937        2048.7388    1026.0463      23.5447       0.0057          5.907     56477.3673
             WD-1312-029    F775W    ibyn05tlq_flc.fits    605.0000        5.8977        2048.2385    1027.1587      25.1908       0.0056         17.122     56477.3705
             WD-1312-029    F625W    ibyn05toq_flc.fits    350.0000        5.5388        2048.1760    1025.8989      24.1751       0.0044         15.381     56477.3793
             WD-1312-029    F336W    ibyn05tsq_flc.fits    160.0000        5.4618        2048.0725    1025.8766      24.0326       0.0062          1.552     56477.3923
             WD-1312-029    F336W    ibyn05tvq_flc.fits    160.0000        5.3647        2048.0664    1025.8701      24.0511       0.0063          1.596     56477.3958
             WD-1312-029    F336W    ibyn05txq_flc.fits    160.0000        5.5219        2086.0957    1061.7054      24.0391       0.0063          2.029     56477.4284
             WD-1312-029    F775W    ibyn05u0q_flc.fits    680.0000        6.1915        2086.2158    1062.9310      25.2291       0.0054         20.526     56477.4320
             WD-1312-029    F625W    ibyn05u3q_flc.fits    355.0000        5.5777        2086.1528    1061.1772      24.1682       0.0043         15.528     56477.4417
             WD-1312-029    F475W    ibyn05u7q_flc.fits    160.0000        5.2940        2086.2576    1061.6680      23.5266       0.0047          5.686     56477.4548
             WD-1312-029    F475W    ibyn05uaq_flc.fits    160.0000        5.3506        2086.2231    1061.2493      23.5316       0.0048          5.812     56477.4582
             WD-1635+008    F475W    ibyn06qrq_flc.fits    120.0000        5.0209        2033.8123    1010.2195      23.2727       0.0048          3.175     56469.5343
             WD-1635+008    F775W    ibyn06qtq_flc.fits    605.0000        5.3467        2033.7490    1011.8031      24.9376       0.0047         10.381     56469.5374
             WD-1635+008    F625W    ibyn06qwq_flc.fits    350.0000        4.9287        2033.2008    1010.0393      23.8870       0.0037          9.662     56469.5462
             WD-1635+008    F336W    ibyn06r1q_flc.fits    160.0000        5.4452        2033.1382    1010.0982      23.7548       0.0053          1.321     56469.5592
             WD-1635+008    F336W    ibyn06r4q_flc.fits    160.0000        5.3846        2033.1506    1010.1321      23.7637       0.0054          1.935     56469.5627
             WD-1635+008    F336W    ibyn06r6q_flc.fits    160.0000        5.4029        2071.1887    1045.9170      23.7605       0.0053          1.706     56469.5969
             WD-1635+008    F775W    ibyn06r9q_flc.fits    680.0000        5.6149        2071.7427    1047.0581      24.9308       0.0044         11.602     56469.6006
             WD-1635+008    F625W    ibyn06rcq_flc.fits    355.0000        5.1168        2071.1514    1045.7583      23.8889       0.0037         10.054     56469.6102
             WD-1635+008    F475W    ibyn06rgq_flc.fits    160.0000        5.1715        2071.2771    1045.8756      23.2485       0.0041          4.116     56469.6233
             WD-1635+008    F475W    ibyn06rjq_flc.fits    160.0000        5.2481        2071.2881    1045.8904      23.2780       0.0041          4.111     56469.6268
             WD-2034-053    F475W    ibyn07irq_flc.fits    120.0000        5.3534        2033.1404    1020.1417      23.3851       0.0052          6.202     56255.5932
             WD-2034-053    F775W    ibyn07itq_flc.fits    605.0000        6.1349        2033.0494    1021.2387      24.9431       0.0050         22.588     56255.5964
             WD-2034-053    F625W    ibyn07iwq_flc.fits    350.0000        5.8310        2032.9707    1019.9835      23.9860       0.0040         19.452     56255.6052
             WD-2034-053    F336W    ibyn07j0q_flc.fits    160.0000        5.3311        2032.8403    1020.0319      23.9842       0.0060          1.512     56255.6182
             WD-2034-053    F336W    ibyn07j3q_flc.fits    160.0000        5.4575        2032.8257    1020.0280      23.9825       0.0060          1.931     56255.6216
             WD-2034-053    F336W    ibyn07j5q_flc.fits    160.0000        5.3881        2070.8726    1055.7720      23.9907       0.0061          2.302     56255.6541
             WD-2034-053    F775W    ibyn07j8q_flc.fits    680.0000        6.8693        2071.0083    1056.9751      24.8990       0.0046         26.381     56255.6577
             WD-2034-053    F625W    ibyn07jbq_flc.fits    355.0000        5.8904        2070.9414    1055.2634      23.9281       0.0039         19.786     56255.6674
             WD-2034-053    F475W    ibyn07jfq_flc.fits    160.0000        5.4688        2071.0015    1055.8359      23.3626       0.0044          6.869     56255.6805
             WD-2034-053    F475W    ibyn07jiq_flc.fits    160.0000        5.3714        2070.9858    1055.8130      23.3698       0.0044          7.428     56255.6839
