           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3550.00000000   1.92002000   0.05191100   1.93655694   1.88567976       0.00418301    0.03434024  
  3551.00000000   1.93501000   0.05194050   1.93518680   1.88423379       0.00430749    0.05077621  
  3552.00000000   1.88784000   0.05134800   1.93335057   1.88232170       0.00414839    0.00551830  
  3553.00000000   1.86316000   0.05090590   1.93143025   1.88032552       0.00404470   -0.01716552  
  3554.00000000   1.87175000   0.05069810   1.92951708   1.87833653       0.00394717   -0.00658653  
  3555.00000000   1.89314000   0.05076630   1.92760298   1.87634662       0.00384541    0.01679338  
  3556.00000000   1.93250000   0.05079680   1.92568932   1.87435723       0.00374248    0.05814277  
  3557.00000000   1.91733000   0.05026880   1.92378369   1.87237594       0.00364776    0.04495406  
  3558.00000000   1.88905000   0.04978560   1.92187280   1.87038948       0.00354621    0.01866052  
  3559.00000000   1.89518000   0.04946300   1.91996141   1.86840269       0.00344681    0.02677731  
  3560.00000000   1.87963000   0.04915420   1.91805038   1.86641647       0.00334588    0.01321353  
  3561.00000000   1.85078000   0.04890610   1.91614377   1.86443492       0.00324224   -0.01365492  
  3562.00000000   1.86358000   0.04865340   1.91425532   1.86247186       0.00313768    0.00110814  
  3563.00000000   1.86723000   0.04848290   1.91236948   1.86051179       0.00303467    0.00671821  
  3564.00000000   1.84408000   0.04839670   1.91047098   1.85853949       0.00293056   -0.01445949  
  3565.00000000   1.88080000   0.04844560   1.90857007   1.85656529       0.00282927    0.02423471  
  3566.00000000   1.87716000   0.04810870   1.90667247   1.85459494       0.00272621    0.02256506  
  3567.00000000   1.86477000   0.04793580   1.90478951   1.85263985       0.00262562    0.01213015  
  3568.00000000   1.87752000   0.04803770   1.90290684   1.85068574       0.00252295    0.02683426  
  3569.00000000   1.87346000   0.04765090   1.90101270   1.84872091       0.00241264    0.02473909  
  3570.00000000   1.85242000   0.04735560   1.89912855   1.84676691       0.00230955    0.00565309  
  3571.00000000   1.86136000   0.04715840   1.89725815   1.84482757       0.00220649    0.01653243  
  3572.00000000   1.83418000   0.04677830   1.89538433   1.84288582       0.00210347   -0.00870582  
  3573.00000000   1.83843000   0.04658200   1.89350542   1.84094008       0.00199773   -0.00251008  
  3574.00000000   1.86304000   0.04641930   1.89163926   1.83900828       0.00189266    0.02403172  
  3575.00000000   1.84048000   0.04594740   1.88977552   1.83708018       0.00178943    0.00339982  
  3576.00000000   1.83163000   0.04564040   1.88790300   1.83514467       0.00168608   -0.00351467  
  3577.00000000   1.83388000   0.04556940   1.88603849   1.83321864       0.00158239    0.00066136  
