     pb         mag    mag_err   model_mag     res_mag  
  F275W   16.187890   0.001714   16.185294    0.002596  
  F336W   16.521619   0.001732   16.524419   -0.002800  
  F475W   17.036420   0.002367   17.035817    0.000603  
  F625W   17.514039   0.002139   17.512814    0.001225  
  F775W   17.903661   0.001608   17.904813   -0.001152  
  F160W   19.303131   0.004480   19.293751    0.009380  
