     pb         mag    mag_err   model_mag     res_mag  
  F275W   11.988752   0.001488   11.990997   -0.002245  
  F336W   12.335987   0.001409   12.334511    0.001476  
  F475W   12.798768   0.001480   12.797872    0.000896  
  F625W   13.278968   0.001293   13.276962    0.002006  
  F775W   13.671957   0.001225   13.674277   -0.002320  
  F160W   15.067621   0.001904   15.067511    0.000110  
