     pb         mag    mag_err   model_mag     res_mag  
  F275W   15.109996   0.001756   15.115473   -0.005477  
  F336W   15.390677   0.001611   15.386034    0.004643  
  F475W   15.709025   0.001681   15.707482    0.001543  
  F625W   16.120167   0.001539   16.116463    0.003704  
  F775W   16.471188   0.001280   16.474812   -0.003624  
  F160W   17.787015   0.004498   17.786693    0.000322  
