     pb         mag    mag_err   model_mag     res_mag  
  F275W   15.791345   0.001735   15.790173    0.001172  
  F336W   16.121345   0.001589   16.121502   -0.000157  
  F475W   16.544089   0.001955   16.541263    0.002826  
  F625W   17.005627   0.001868   17.006053   -0.000426  
  F775W   17.392605   0.001275   17.397054   -0.004449  
  F160W   18.785667   0.002456   18.774333    0.011334  
