           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3520.00000000   2.56846000   0.13745300   2.61145032   2.64978510       0.00509211   -0.08132510  
  3521.00000000   2.74883000   0.14026700   2.60983884   2.64822150       0.00504812    0.10060850  
  3522.00000000   2.57367000   0.13599100   2.60769757   2.64612814       0.00503463   -0.07245814  
  3523.00000000   2.68723000   0.13664000   2.60527031   2.64374882       0.00501314    0.04348118  
  3524.00000000   2.57062000   0.13456100   2.60274138   2.64126788       0.00500764   -0.07064788  
  3525.00000000   2.44779000   0.13231500   2.60018945   2.63876397       0.00497551   -0.19097397  
  3526.00000000   2.71243000   0.13529800   2.59763589   2.63625846       0.00493986    0.07617154  
  3527.00000000   2.69507000   0.13397300   2.59508718   2.63375784       0.00486035    0.06131216  
  3528.00000000   2.49819000   0.13032800   2.59254515   2.63126393       0.00486070   -0.13307393  
  3529.00000000   2.59075000   0.13113200   2.59000674   2.62877367       0.00481956   -0.03802367  
  3530.00000000   2.61521000   0.13034900   2.58747044   2.62628555       0.00473626   -0.01107555  
  3531.00000000   2.51480000   0.12877700   2.58493976   2.62380308       0.00468949   -0.10900308  
  3532.00000000   2.40073000   0.12638200   2.58241624   2.62132779       0.00470321   -0.22059779  
  3533.00000000   2.67688000   0.13013800   2.57989631   2.61885612       0.00464040    0.05802388  
  3534.00000000   2.67597000   0.12954700   2.57737761   2.61638569       0.00461565    0.05958431  
  3535.00000000   2.55998000   0.12750700   2.57486022   2.61391659       0.00459101   -0.05393659  
  3536.00000000   2.56449000   0.12667700   2.57234282   2.61144749       0.00455823   -0.04695749  
  3537.00000000   2.61146000   0.12728800   2.56982521   2.60897818       0.00452423    0.00248182  
  3538.00000000   2.57075000   0.12699400   2.56731104   2.60651231       0.00448842   -0.03576231  
  3539.00000000   2.52217000   0.12523600   2.56480304   2.60405263       0.00444996   -0.08188263  
  3540.00000000   2.61569000   0.12542900   2.56229992   2.60159780       0.00441177    0.01409220  
  3541.00000000   2.60433000   0.12461800   2.55979862   2.59914479       0.00437266    0.00518521  
  3542.00000000   2.52292000   0.12245300   2.55729653   2.59669098       0.00433310   -0.07377098  
  3543.00000000   2.57495000   0.12267600   2.55479445   2.59423715       0.00432211   -0.01928715  
  3544.00000000   2.50671000   0.12261500   2.55229748   2.59178840       0.00431638   -0.08507840  
  3545.00000000   2.54002000   0.12279800   2.54980867   2.58934779       0.00431680   -0.04932779  
  3546.00000000   2.52495000   0.12154200   2.54732463   2.58691189       0.00431943   -0.06196189  
  3547.00000000   2.43122000   0.11868000   2.54484058   2.58447596       0.00431086   -0.15325596  
  3548.00000000   2.40228000   0.11772500   2.54235610   2.58203953       0.00428829   -0.17975953  
  3549.00000000   2.49549000   0.11844500   2.53987369   2.57960512       0.00426704   -0.08411512  
  3550.00000000   2.51837000   0.11837200   2.53739540   2.57717476       0.00423887   -0.05880476  
  3551.00000000   2.53829000   0.11865600   2.53492254   2.57474975       0.00420753   -0.03645975  
  3552.00000000   2.46412000   0.11761900   2.53245631   2.57233128       0.00417767   -0.10821128  
  3553.00000000   2.45221000   0.11641600   2.52999618   2.56991880       0.00413289   -0.11770880  
  3554.00000000   2.59735000   0.11770000   2.52753920   2.56750937       0.00409791    0.02984063  
  3555.00000000   2.57242000   0.11749500   2.52508252   2.56510011       0.00406270    0.00731989  
  3556.00000000   2.50226000   0.11653800   2.52262488   2.56268974       0.00402419   -0.06042974  
  3557.00000000   2.51508000   0.11630800   2.52016722   2.56027921       0.00400558   -0.04519921  
  3558.00000000   2.50041000   0.11559900   2.51771277   2.55787173       0.00398014   -0.05746173  
  3559.00000000   2.55006000   0.11579500   2.51526343   2.55546918       0.00394021   -0.00540918  
  3560.00000000   2.42351000   0.11329100   2.51281720   2.55306954       0.00390217   -0.12955954  
  3561.00000000   2.37215000   0.11268400   2.51037152   2.55067025       0.00387248   -0.17852025  
  3562.00000000   2.48816000   0.11362700   2.50792800   2.54827290       0.00385942   -0.06011290  
  3563.00000000   2.60349000   0.11414500   2.50549136   2.54588219       0.00383162    0.05760781  
  3564.00000000   2.62975000   0.11417800   2.50306362   2.54350013       0.00379166    0.08624987  
  3565.00000000   2.46698000   0.11154400   2.50064204   2.54112397       0.00375686   -0.07414397  
  3566.00000000   2.54690000   0.11208400   2.49822276   2.53874981       0.00372460    0.00815019  
  3567.00000000   2.52636000   0.11199900   2.49580407   2.53637594       0.00369722   -0.01001594  
  3568.00000000   2.44247000   0.11059300   2.49338701   2.53400338       0.00367234   -0.09153338  
  3569.00000000   2.50348000   0.11106600   2.49097354   2.53163409       0.00364493   -0.02815409  
  3570.00000000   2.56798000   0.11258700   2.48856383   2.52926819       0.00361004    0.03871181  
  3571.00000000   2.54057000   0.11106100   2.48615614   2.52690395       0.00358295    0.01366605  
  3572.00000000   2.46519000   0.11033800   2.48374905   2.52453991       0.00352486   -0.05934991  
  3573.00000000   2.48040000   0.11122500   2.48134172   2.52217524       0.00344035   -0.04177524  
