     pb         mag    mag_err   model_mag     res_mag  
  F275W   17.040629   0.003152   17.042654   -0.002025  
  F336W   17.354449   0.004276   17.356100   -0.001651  
  F475W   17.866840   0.002568   17.859988    0.006852  
  F625W   18.313511   0.001765   18.315201   -0.001690  
  F775W   18.688685   0.002029   18.690814   -0.002129  
  F160W   20.056578   0.004684   20.049948    0.006630  
