     pb         mag    mag_err   model_mag     res_mag  
  F275W   18.015786   0.007534   18.012515    0.003271  
  F336W   18.317716   0.004031   18.319910   -0.002194  
  F475W   18.839878   0.004992   18.834626    0.005252  
  F625W   19.280841   0.003139   19.284553   -0.003712  
  F775W   19.660455   0.004821   19.653124    0.007331  
  F160W   20.996266   0.008838   20.998118   -0.001852  
