           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3400.00000000   0.22170400   0.01099220   0.21332403   0.22704889       0.00176395   -0.00534489  
  3402.00000000   0.22799700   0.01098680   0.21304388   0.22677962       0.00174334    0.00121738  
  3404.00000000   0.22711200   0.01087030   0.21266714   0.22641376       0.00173257    0.00069824  
  3406.00000000   0.22012900   0.01064080   0.21224865   0.22600617       0.00173217   -0.00587717  
  3408.00000000   0.22662100   0.01066470   0.21182030   0.22558872       0.00171168    0.00103228  
  3410.00000000   0.22920100   0.01064390   0.21139130   0.22517063       0.00169178    0.00403037  
  3412.00000000   0.22093000   0.01053860   0.21096319   0.22475345       0.00167092   -0.00382345  
  3414.00000000   0.22024400   0.01057640   0.21053633   0.22433752       0.00164999   -0.00409352  
  3416.00000000   0.22212600   0.01068140   0.21011083   0.22392296       0.00163230   -0.00179696  
  3418.00000000   0.22055700   0.01078710   0.20968642   0.22350949       0.00161457   -0.00295249  
  3420.00000000   0.22630500   0.01088150   0.20926277   0.22309679       0.00159080    0.00320821  
  3422.00000000   0.24115400   0.01107340   0.20883985   0.22268484       0.00157107    0.01846916  
  3424.00000000   0.23465100   0.01096900   0.20841792   0.22227387       0.00155026    0.01237713  
  3426.00000000   0.22606400   0.01080650   0.20799714   0.22186408       0.00153118    0.00419992  
  3428.00000000   0.21929300   0.01063080   0.20757743   0.22145535       0.00151259   -0.00216235  
  3430.00000000   0.21705800   0.01055410   0.20715866   0.22104758       0.00149351   -0.00398958  
  3432.00000000   0.21376700   0.01050310   0.20674102   0.22064094       0.00147241   -0.00687394  
  3434.00000000   0.21050200   0.01048270   0.20632471   0.22023565       0.00145610   -0.00973365  
  3436.00000000   0.20671200   0.01048690   0.20590963   0.21983159       0.00143571   -0.01311959  
  3438.00000000   0.20025500   0.01034610   0.20549554   0.21942853       0.00141746   -0.01917353  
  3440.00000000   0.20904800   0.01036700   0.20508233   0.21902636       0.00139876   -0.00997836  
  3442.00000000   0.21158700   0.01031520   0.20467001   0.21862508       0.00138414   -0.00703808  
  3444.00000000   0.20966400   0.01018600   0.20425878   0.21822491       0.00136934   -0.00856091  
  3446.00000000   0.21240700   0.01020690   0.20384877   0.21782597       0.00135416   -0.00541897  
  3448.00000000   0.21990000   0.01043270   0.20343968   0.21742795       0.00133907    0.00247205  
  3450.00000000   0.21612200   0.01059300   0.20303130   0.21703065       0.00132446   -0.00090865  
  3452.00000000   0.21523500   0.01072420   0.20262378   0.21663420       0.00131019   -0.00139920  
  3454.00000000   0.21399200   0.01076090   0.20221734   0.21623886       0.00129597   -0.00224686  
  3456.00000000   0.21254200   0.01074160   0.20181227   0.21584488       0.00128141   -0.00330288  
  3458.00000000   0.21191300   0.01058170   0.20140863   0.21545234       0.00126633   -0.00353934  
  3460.00000000   0.21327600   0.01043830   0.20100610   0.21506092       0.00125115   -0.00178492  
  3462.00000000   0.21173500   0.01026310   0.20060426   0.21467019       0.00123642   -0.00293519  
  3464.00000000   0.20105600   0.00994069   0.20020304   0.21428009       0.00121149   -0.01322409  
  3466.00000000   0.20319700   0.00981539   0.19980279   0.21389096       0.00118437   -0.01069396  
  3468.00000000   0.20588200   0.00974753   0.19940378   0.21350308       0.00115800   -0.00762108  
  3470.00000000   0.21229200   0.00977108   0.19900578   0.21311621       0.00112765   -0.00082421  
  3472.00000000   0.20981300   0.00971793   0.19860859   0.21273015       0.00111007   -0.00291715  
  3474.00000000   0.20978000   0.00977458   0.19821233   0.21234501       0.00109399   -0.00256501  
  3476.00000000   0.19983300   0.00984071   0.19781701   0.21196083       0.00107426   -0.01212783  
  3478.00000000   0.21136000   0.01032880   0.19742260   0.21157755       0.00105867   -0.00021755  
  3480.00000000   0.21464300   0.01069390   0.19702930   0.21119538       0.00104268    0.00344762  
  3482.00000000   0.20892400   0.01079930   0.19663726   0.21081447       0.00102375   -0.00189047  
  3484.00000000   0.20972300   0.01086090   0.19624628   0.21043461       0.00100823   -0.00071161  
  3486.00000000   0.21006700   0.01073360   0.19585621   0.21005567       0.00099267    0.00001133  
  3488.00000000   0.20464900   0.01046400   0.19546703   0.20967761       0.00097544   -0.00502861  
  3490.00000000   0.19194400   0.01009410   0.19507862   0.20930032       0.00096096   -0.01735632  
  3492.00000000   0.20063000   0.00995949   0.19469093   0.20892375       0.00094088   -0.00829375  
  3494.00000000   0.20662500   0.00987693   0.19430426   0.20854818       0.00092444   -0.00192318  
