     pb         mag    mag_err   model_mag     res_mag  
  F275W   19.518266   0.008494   19.517380    0.000886  
  F336W   19.715153   0.010409   19.717569   -0.002416  
  F475W   19.815079   0.007275   19.813152    0.001927  
  F625W   20.168955   0.007076   20.168899    0.000056  
  F775W   20.501384   0.005679   20.502475   -0.001091  
  F160W   21.737057   0.017259   21.738344   -0.001287  
