           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3500.00000000   0.10259600   0.03629000   0.12698123   0.12409673       0.00130140   -0.02150073  
  3501.00000000   0.09986260   0.03554220   0.12691775   0.12404771       0.00128764   -0.02418511  
  3502.00000000   0.10694300   0.03502190   0.12683627   0.12398075       0.00126783   -0.01703775  
  3503.00000000   0.14596100   0.03538490   0.12674202   0.12390109       0.00125208    0.02205991  
  3504.00000000   0.13656500   0.03611020   0.12664057   0.12381429       0.00123895    0.01275071  
  3505.00000000   0.10547500   0.03541200   0.12653589   0.12372434       0.00122410   -0.01824934  
  3506.00000000   0.10872300   0.03509910   0.12643011   0.12363335       0.00120990   -0.01491035  
  3507.00000000   0.10600800   0.03521540   0.12632408   0.12354217       0.00119600   -0.01753417  
  3508.00000000   0.13965800   0.03515180   0.12621807   0.12345109       0.00118223    0.01620691  
  3509.00000000   0.13544600   0.03458320   0.12611218   0.12336019       0.00116853    0.01208581  
  3510.00000000   0.10218700   0.03462520   0.12600641   0.12326948       0.00115488   -0.02108248  
  3511.00000000   0.12871600   0.03442990   0.12590077   0.12317898       0.00114947    0.00553702  
  3512.00000000   0.10385600   0.03356300   0.12579526   0.12308866       0.00115907   -0.01923266  
  3513.00000000   0.09123850   0.03346700   0.12568987   0.12299854       0.00116848   -0.03176004  
  3514.00000000   0.10295100   0.03376070   0.12558459   0.12290860       0.00117766   -0.01995760  
  3515.00000000   0.11498100   0.03343220   0.12547940   0.12281881       0.00118663   -0.00783781  
  3516.00000000   0.10607600   0.03341050   0.12537429   0.12272918       0.00119539   -0.01665318  
  3517.00000000   0.11166400   0.03329260   0.12526929   0.12263972       0.00120397   -0.01097572  
  3518.00000000   0.12725700   0.03304090   0.12516442   0.12255046       0.00121240    0.00470654  
  3519.00000000   0.13370400   0.03268030   0.12505969   0.12246141       0.00122068    0.01124259  
  3520.00000000   0.11562300   0.03203160   0.12495508   0.12237254       0.00122878   -0.00674954  
  3521.00000000   0.10207300   0.03194730   0.12485058   0.12228385       0.00123666   -0.02021085  
  3522.00000000   0.14286200   0.03224710   0.12474616   0.12219532       0.00124430    0.02066668  
  3523.00000000   0.15616700   0.03207310   0.12464184   0.12210695       0.00123230    0.03406005  
  3524.00000000   0.13392900   0.03177030   0.12453762   0.12201876       0.00121784    0.01191024  
  3525.00000000   0.11590700   0.03144680   0.12443353   0.12193076       0.00120352   -0.00602376  
  3526.00000000   0.11703800   0.03150110   0.12432958   0.12184296       0.00118933   -0.00480496  
  3527.00000000   0.11687500   0.03113620   0.12422576   0.12175536       0.00117528   -0.00488036  
  3528.00000000   0.12772600   0.03091760   0.12412205   0.12166795       0.00116133    0.00605805  
  3529.00000000   0.12420500   0.03074080   0.12401846   0.12158072       0.00114745    0.00262428  
  3530.00000000   0.11804100   0.03052290   0.12391498   0.12149367       0.00113362   -0.00345267  
  3531.00000000   0.12240500   0.03014520   0.12381161   0.12140680       0.00111981    0.00099820  
  3532.00000000   0.13967900   0.03104100   0.12370833   0.12132009       0.00110602    0.01835891  
  3533.00000000   0.12570300   0.03136050   0.12360517   0.12123356       0.00109227    0.00446944  
  3534.00000000   0.09674290   0.03038410   0.12350211   0.12114721       0.00107858   -0.02440431  
  3535.00000000   0.11942600   0.03047660   0.12339917   0.12106104       0.00106936   -0.00163504  
  3536.00000000   0.12791100   0.03069100   0.12329632   0.12097504       0.00106579    0.00693596  
  3537.00000000   0.11257500   0.03099990   0.12319356   0.12088919       0.00106218   -0.00831419  
