     pb         mag    mag_err   model_mag     res_mag  
  F275W   10.490362   0.001451   10.490338    0.000024  
  F336W   10.890202   0.001369   10.889126    0.001076  
  F475W   11.498786   0.001255   11.502254   -0.003468  
  F625W   12.030686   0.001053   12.032638   -0.001952  
  F775W   12.451360   0.001319   12.449290    0.002070  
  F160W   13.885266   0.001503   13.880018    0.005248  
