             obj        F275W      dF275W        F336W      dF336W        F475W      dF475W        F625W      dF625W        F775W      dF775W        F160W      dF160W   
       zeropoint    -6.004119    0.000854    -5.436776    0.000829    -4.408729    0.000870    -4.575868    0.000678    -5.249517    0.000775    -4.188423    0.000926   
      c20_offset          NaN         NaN    -0.006157    0.002697    -0.023207    0.003879    -0.032365    0.002171    -0.022747    0.004173    -0.012513    0.005165   
   sig_intrinsic     0.003013    0.000635     0.001603    0.000658     0.002616    0.000614     0.001472    0.000698     0.000587    0.000430     0.004538    0.000667   
              nu     2.463011    0.435909     1.513450    0.188010     2.292579    0.411555     3.172235    0.706253     1.361351    0.149407     2.975040    0.540860   
         g191b2b    10.490438    0.001436    10.890243    0.001378    11.498820    0.001271    12.030714    0.001053    12.451254    0.001297    13.885270    0.001512   
           gd153    12.201520    0.001576    12.567800    0.001464    13.099759    0.001812    13.597579    0.001405    14.001685    0.001352    15.413902    0.001743   
            gd71    11.988756    0.001483    12.336034    0.001434    12.798702    0.001497    13.278919    0.001293    13.671950    0.001232    15.067613    0.001904   
     sdssj010322    18.194720    0.004447    18.526412    0.005613    19.082957    0.005416    19.569046    0.004718    19.964549    0.006043    21.355119    0.012032   
     sdssj022817    19.518555    0.008477    19.713548    0.009979    19.814583    0.007149    20.169517    0.006830    20.501961    0.005799    21.737011    0.017366   
     sdssj024854    17.828730    0.003589    18.040835    0.005921    18.369335    0.002967    18.746080    0.002434    19.077244    0.002098    20.339979    0.005810   
     sdssj072752    17.162929    0.002820    17.470676    0.002909    17.992760    0.002716    18.456570    0.002452    18.836522    0.003002    20.216666    0.006840   
     sdssj081508    18.948547    0.006477    19.263882    0.007874    19.716441    0.005304    20.184783    0.005272    20.578218    0.006454    21.961610    0.024281   
     sdssj102430    18.259787    0.018322    18.513947    0.004512    18.903827    0.004639    19.317326    0.003830    19.665034    0.008427    20.990656    0.012844   
     sdssj111059    17.039901    0.003173    17.353527    0.004363    17.866489    0.002534    18.313184    0.001770    18.688358    0.001946    20.056552    0.004713   
     sdssj111127    17.442335    0.004439    17.829605    0.005927    18.420267    0.002896    18.939216    0.003730    19.343679    0.002526    20.797509    0.009108   
     sdssj121405    16.940673    0.002527    17.282736    0.001986    17.760715    0.001910    18.236113    0.002733    18.630246    0.002193    20.037859    0.004127   
     sdssj130234    16.187731    0.001697    16.521550    0.001745    17.036150    0.002403    17.513729    0.002195    17.903148    0.001567    19.303115    0.004477   
     sdssj151421    15.110017    0.001721    15.390673    0.001622    15.708967    0.001691    16.120184    0.001531    16.471128    0.001291    17.787041    0.004478   
     sdssj155745    16.499607    0.002318    16.876586    0.002361    17.470080    0.002758    17.992043    0.001791    18.388183    0.001913    19.834253    0.004655   
     sdssj172135    20.372947    0.013109    20.077079    0.014759    19.656677    0.004532    19.670120    0.003025    19.768428    0.003115    20.552363    0.022779   
     sdssj181424    15.791415    0.001733    16.121315    0.001603    16.543862    0.001941    17.005680    0.001864    17.392618    0.001275    18.785671    0.002458   
     sdssj210150    18.067840    0.003784    18.333579    0.004431    18.655551    0.003059    19.063607    0.002383    19.413537    0.003968    20.739622    0.008083   
     sdssj235144    17.448693    0.003600    17.661054    0.002863    18.074926    0.002668    18.459587    0.002601    18.786479    0.002273    20.074718    0.004207   
     sdssj041053    18.115135    0.009813    18.404043    0.003981    18.879315    0.004935    19.253997    0.003280    19.394029    0.005567    19.498181    0.005470   
          wd0554    16.776072    0.004343    17.153013    0.003323    17.726792    0.004959    18.220588    0.002500    18.617109    0.005114    20.043112    0.006823   
     sdssj120650    18.239547    0.003971    18.488470    0.004035    18.671529    0.004474    19.060156    0.002971    19.410929    0.006543    20.702725    0.008525   
     sdssj131445    18.257339    0.004236    18.596538    0.005152    19.101749    0.004916    19.566920    0.004649    19.955680    0.008859    21.328424    0.012284   
     sdssj163800    18.014911    0.007466    18.317610    0.004068    18.839698    0.004965    19.280848    0.003137    19.660353    0.004818    20.996241    0.008817   
     sdssj203722    18.256338    0.007211    18.543322    0.004301    18.942613    0.006262    19.350834    0.011741    19.671630    0.009839    20.978888    0.023257   
     sdssj232941    17.943795    0.003801    18.108837    0.003795    18.160386    0.005709    18.469738    0.002683    18.775339    0.007286    19.994842    0.006495   
