     pb         mag    mag_err   model_mag     res_mag  
  F275W   18.239650   0.003932   18.241808   -0.002158  
  F336W   18.488815   0.004073   18.485216    0.003599  
  F475W   18.671866   0.004450   18.673497   -0.001631  
  F625W   19.060146   0.002950   19.062030   -0.001884  
  F775W   19.411153   0.006570   19.413614   -0.002461  
  F160W   20.702747   0.008521   20.691430    0.011317  
